season,week,celebrity_name,judge1,judge2,judge3,judge4,total_score
4,1,Leeza Gibbons,5.0,5.0,5.0,,15.0
4,1,Billy Ray Cyrus,5.0,4.0,4.0,,13.0
4,2,Laila Ali,9.0,9.0,9.0,,27.0
4,2,Apolo Anton Ohno,8.0,9.0,9.0,,26.0
4,2,Heather Mills,8.0,8.0,8.0,,24.0
4,2,Joey Fatone,8.0,8.0,8.0,,24.0
4,2,Ian Ziering,7.0,8.0,7.0,,22.0
4,2,John Ratzenberger,7.0,7.0,7.0,,21.0
4,2,Paulina Porizkova,7.0,7.0,7.0,,21.0
4,2,Billy Ray Cyrus,7.0,7.0,7.0,,21.0
4,2,Leeza Gibbons,7.0,7.0,7.0,,21.0
4,2,Shandi Finnessey,6.0,7.0,7.0,,20.0
4,2,Clyde Drexler,6.0,6.0,6.0,,18.0
4,3,Ian Ziering,8.0,8.0,8.0,,24.0
4,3,Heather Mills,8.0,8.0,8.0,,24.0
4,3,Joey Fatone,8.0,8.0,8.0,,24.0
4,3,Leeza Gibbons,8.0,8.0,8.0,,24.0
4,3,Apolo Anton Ohno,7.0,8.0,8.0,,23.0
4,3,Laila Ali,7.0,7.0,7.0,,21.0
4,3,Shandi Finnessey,7.0,7.0,7.0,,21.0
4,3,Billy Ray Cyrus,7.0,7.0,7.0,,21.0
4,3,John Ratzenberger,7.0,6.0,7.0,,20.0
4,3,Clyde Drexler,6.0,5.0,5.0,,16.0
4,4,Joey Fatone,10.0,9.0,9.0,,28.0
4,4,Apolo Anton Ohno,9.0,8.0,9.0,,26.0
4,4,Ian Ziering,7.0,9.0,8.0,,24.0
4,4,Heather Mills,7.0,8.0,8.0,,23.0
4,4,Laila Ali,7.0,7.0,7.0,,21.0
4,4,Billy Ray Cyrus,7.0,7.0,7.0,,21.0
4,4,John Ratzenberger,6.0,5.0,5.0,,16.0
4,4,Leeza Gibbons,6.0,5.0,5.0,,16.0
4,4,Clyde Drexler,6.0,4.0,5.0,,15.0
4,5,Apolo Anton Ohno,10.0,10.0,10.0,,30.0
4,5,Laila Ali,9.0,10.0,9.0,,28.0
4,5,Joey Fatone,8.0,8.0,9.0,,25.0
4,5,Ian Ziering,8.0,8.0,8.0,,24.0
4,5,Heather Mills,7.0,7.0,7.0,,21.0
4,5,John Ratzenberger,6.0,6.0,6.0,,18.0
4,5,Billy Ray Cyrus,6.0,6.0,5.0,,17.0
4,5,Clyde Drexler,4.0,5.0,4.0,,13.0
4,6,Laila Ali,9.0,9.0,10.0,,28.0
4,6,Apolo Anton Ohno,9.0,9.0,10.0,,28.0
4,6,Joey Fatone,9.0,9.0,9.0,,27.0
4,6,Ian Ziering,8.0,8.0,8.0,,24.0
4,6,Heather Mills,7.0,8.0,8.0,,23.0
4,6,Billy Ray Cyrus,7.0,7.0,7.0,,21.0
4,6,John Ratzenberger,7.0,6.0,6.0,,19.0
4,7,Laila Ali,10.0,9.5,10.0,,29.5
4,7,Joey Fatone,10.0,9.5,10.0,,29.5
4,7,Ian Ziering,9.0,9.0,9.0,,27.0
4,7,Apolo Anton Ohno,9.0,8.5,9.5,,27.0
4,7,John Ratzenberger,7.5,7.5,7.5,,22.5
4,7,Billy Ray Cyrus,6.0,6.5,6.5,,19.0
4,8,Apolo Anton Ohno,10.0,9.0,10.0,,29.0
4,8,Joey Fatone,9.5,9.0,9.0,,27.5
4,8,Laila Ali,9.0,8.5,9.0,,26.5
4,8,Ian Ziering,8.0,7.5,8.0,,23.5
4,8,Billy Ray Cyrus,6.5,6.5,6.0,,19.0
4,9,Laila Ali,10.0,10.0,10.0,,30.0
4,9,Joey Fatone,10.0,10.0,10.0,,30.0
4,9,Apolo Anton Ohno,10.0,9.5,10.0,,29.5
4,9,Ian Ziering,9.5,10.0,9.5,,29.0
4,10,Apolo Anton Ohno,9.6666,9.6666,10.0,,29.3332
4,10,Joey Fatone,9.6666,9.3333,9.6666,,28.6665
4,10,Laila Ali,9.6666,9.0,9.6666,,28.333200000000005
5,1,Sabrina Bryan,9.0,8.0,9.0,,26.0
5,1,Helio Castroneves,8.0,9.0,8.0,,25.0
5,1,Jane Seymour,8.0,8.0,8.0,,24.0
5,1,Mel B,8.0,8.0,8.0,,24.0
5,1,Cameron Mathison,7.0,7.0,7.0,,21.0
5,1,Jennie Garth,7.0,7.0,7.0,,21.0
5,1,Albert Reed,7.0,7.0,7.0,,21.0
5,1,Marie Osmond,7.0,7.0,7.0,,21.0
5,1,Mark Cuban,7.0,7.0,7.0,,21.0
5,1,Wayne Newton,6.0,7.0,6.0,,19.0
5,1,Floyd Mayweather Jr. ,6.0,6.0,6.0,,18.0
5,1,Josie Maran,6.0,5.0,5.0,,16.0
5,2,Helio Castroneves,9.0,9.0,9.0,,27.0
5,2,Sabrina Bryan,9.0,8.0,9.0,,26.0
5,2,Marie Osmond,8.0,8.0,8.0,,24.0
5,2,Mel B,7.0,8.0,8.0,,23.0
5,2,Cameron Mathison,7.0,7.0,7.0,,21.0
5,2,Jane Seymour,7.0,7.0,7.0,,21.0
5,2,Jennie Garth,7.0,7.0,7.0,,21.0
5,2,Floyd Mayweather Jr. ,7.0,7.0,7.0,,21.0
5,2,Albert Reed,7.0,7.0,7.0,,21.0
5,2,Mark Cuban,6.0,6.0,6.0,,18.0
5,2,Wayne Newton,5.0,5.0,5.0,,15.0
5,3,Jane Seymour,9.0,9.0,9.0,,27.0
5,3,Sabrina Bryan,9.0,9.0,9.0,,27.0
5,3,Mel B,9.0,9.0,9.0,,27.0
5,3,Jennie Garth,9.0,8.0,9.0,,26.0
5,3,Marie Osmond,9.0,8.0,9.0,,26.0
5,3,Helio Castroneves,8.0,8.0,8.0,,24.0
5,3,Cameron Mathison,8.0,7.0,8.0,,23.0
5,3,Floyd Mayweather Jr. ,7.0,7.0,7.0,,21.0
5,3,Mark Cuban,6.0,7.0,7.0,,20.0
5,3,Wayne Newton,6.0,6.0,6.0,,18.0
5,4,Sabrina Bryan,10.0,10.0,10.0,,30.0
5,4,Cameron Mathison,9.0,9.0,9.0,,27.0
5,4,Jennie Garth,8.0,10.0,9.0,,27.0
5,4,Helio Castroneves,9.0,9.0,9.0,,27.0
5,4,Jane Seymour,8.0,9.0,9.0,,26.0
5,4,Mel B,8.0,9.0,9.0,,26.0
5,4,Marie Osmond,9.0,9.0,8.0,,26.0
5,4,Floyd Mayweather Jr. ,7.0,8.0,8.0,,23.0
5,4,Mark Cuban,7.0,8.0,7.0,,22.0
5,5,Mel B,10.0,9.0,10.0,,29.0
5,5,Sabrina Bryan,9.0,9.0,10.0,,28.0
5,5,Cameron Mathison,8.0,9.0,9.0,,26.0
5,5,Jane Seymour,8.0,9.0,9.0,,26.0
5,5,Jennie Garth,8.0,9.0,8.0,,25.0
5,5,Helio Castroneves,8.0,7.0,8.0,,23.0
5,5,Marie Osmond,7.0,7.0,7.0,,21.0
5,5,Mark Cuban,7.0,7.0,7.0,,21.0
5,6,Mel B,10.0,10.0,10.0,,30.0
5,6,Helio Castroneves,9.0,10.0,9.0,,28.0
5,6,Jennie Garth,9.0,9.0,9.0,,27.0
5,6,Cameron Mathison,9.0,8.0,8.0,,25.0
5,6,Sabrina Bryan,9.0,8.0,8.0,,25.0
5,6,Marie Osmond,8.0,8.0,7.0,,23.0
5,6,Jane Seymour,8.0,7.0,7.0,,22.0
5,7,Mel B,9.0,9.0,9.0,,27.0
5,7,Jennie Garth,8.5,8.5,9.5,,26.5
5,7,Helio Castroneves,9.0,8.5,8.5,,26.0
5,7,Marie Osmond,9.0,8.5,8.5,,26.0
5,7,Cameron Mathison,8.5,8.5,8.5,,25.5
5,7,Jane Seymour,8.0,8.5,8.5,,25.0
5,8,Helio Castroneves,9.5,9.5,9.5,,28.5
5,8,Mel B,9.0,9.5,9.5,,28.0
5,8,Cameron Mathison,8.5,8.5,8.5,,25.5
5,8,Jennie Garth,8.5,8.5,8.0,,25.0
5,8,Marie Osmond,8.0,8.5,8.0,,24.5
5,9,Helio Castroneves,10.0,10.0,10.0,,30.0
5,9,Mel B,10.0,10.0,10.0,,30.0
5,9,Jennie Garth,9.5,10.0,9.5,,29.0
5,9,Marie Osmond,9.5,9.5,9.0,,28.0
5,10,Mel B,9.3333,9.3333,9.6666,,28.333199999999998
5,10,Helio Castroneves,9.0,9.3333,9.6666,,27.999900000000004
5,10,Marie Osmond,8.0,7.5,7.5,,23.0
6,1,Kristi Yamaguchi,9.0,9.0,9.0,,27.0
6,1,Priscilla Presley,8.0,8.0,8.0,,24.0
6,1,Mario,8.0,8.0,8.0,,24.0
6,1,Marlee Matlin,7.0,7.0,8.0,,22.0
6,1,Jason Taylor,7.0,8.0,7.0,,22.0
6,1,Cristian de la Fuente,7.0,7.0,7.0,,21.0
6,1,Shannon Elizabeth,7.0,7.0,7.0,,21.0
6,1,Steve Guttenberg,6.0,6.0,6.0,,18.0
6,1,Marissa Jaret Winokur,6.0,6.0,6.0,,18.0
6,1,Penn Jillette,5.0,6.0,5.0,,16.0
6,1,Monica Seles,5.0,5.0,5.0,,15.0
6,1,Adam Carolla,5.0,5.0,5.0,,15.0
6,2,Jason Taylor,9.0,9.0,9.0,,27.0
6,2,Kristi Yamaguchi,9.0,9.0,9.0,,27.0
6,2,Mario,9.0,8.0,9.0,,26.0
6,2,Marlee Matlin,8.0,8.0,8.0,,24.0
6,2,Shannon Elizabeth,8.0,8.0,8.0,,24.0
6,2,Priscilla Presley,7.0,7.0,7.0,,21.0
6,2,Marissa Jaret Winokur,7.0,7.0,7.0,,21.0
6,2,Cristian de la Fuente,7.0,6.0,7.0,,20.0
6,2,Adam Carolla,6.0,7.0,6.0,,19.0
6,2,Penn Jillette,6.0,6.0,5.0,,17.0
6,2,Steve Guttenberg,6.0,5.0,5.0,,16.0
6,2,Monica Seles,5.0,5.0,5.0,,15.0
6,3,Kristi Yamaguchi,9.0,9.0,9.0,,27.0
6,3,Priscilla Presley,8.0,9.0,9.0,,26.0
6,3,Cristian de la Fuente,8.0,8.0,9.0,,25.0
6,3,Shannon Elizabeth,8.0,8.0,8.0,,24.0
6,3,Jason Taylor,8.0,7.0,8.0,,23.0
6,3,Steve Guttenberg,7.0,7.0,7.0,,21.0
6,3,Marlee Matlin,7.0,7.0,7.0,,21.0
6,3,Adam Carolla,7.0,7.0,7.0,,21.0
6,3,Mario,7.0,6.0,8.0,,21.0
6,3,Marissa Jaret Winokur,6.0,7.0,6.0,,19.0
6,4,Jason Taylor,10.0,9.0,10.0,,29.0
6,4,Kristi Yamaguchi,10.0,9.0,10.0,,29.0
6,4,Shannon Elizabeth,9.0,10.0,9.0,,28.0
6,4,Cristian de la Fuente,9.0,8.0,9.0,,26.0
6,4,Marlee Matlin,8.0,8.0,8.0,,24.0
6,4,Marissa Jaret Winokur,8.0,8.0,8.0,,24.0
6,4,Mario,8.0,7.0,9.0,,24.0
6,4,Priscilla Presley,7.0,7.0,8.0,,22.0
6,4,Adam Carolla,6.0,7.0,6.0,,19.0
6,5,Kristi Yamaguchi,9.0,10.0,10.0,,29.0
6,5,Jason Taylor,9.0,9.0,9.0,,27.0
6,5,Mario,9.0,9.0,9.0,,27.0
6,5,Marissa Jaret Winokur,8.0,8.0,8.0,,24.0
6,5,Cristian de la Fuente,7.0,8.0,8.0,,23.0
6,5,Shannon Elizabeth,8.0,8.0,7.0,,23.0
6,5,Marlee Matlin,7.0,7.0,8.0,,22.0
6,5,Priscilla Presley,7.0,7.0,7.0,,21.0
6,6,Kristi Yamaguchi,10.0,10.0,10.0,,30.0
6,6,Mario,9.0,9.0,10.0,,28.0
6,6,Cristian de la Fuente,9.0,9.0,9.0,,27.0
6,6,Marissa Jaret Winokur,9.0,8.0,9.0,,26.0
6,6,Shannon Elizabeth,8.0,8.0,8.0,,24.0
6,6,Jason Taylor,8.0,8.0,8.0,,24.0
6,6,Marlee Matlin,7.0,7.0,7.0,,21.0
6,7,Jason Taylor,9.5,8.5,9.5,,27.5
6,7,Kristi Yamaguchi,9.5,8.0,9.5,,27.0
6,7,Marissa Jaret Winokur,9.0,8.5,8.5,,26.0
6,7,Shannon Elizabeth,8.5,8.5,8.5,,25.5
6,7,Mario,8.5,8.5,8.5,,25.5
6,7,Cristian de la Fuente,7.5,7.5,8.0,,23.0
6,8,Cristian de la Fuente,10.0,9.0,9.5,,28.5
6,8,Kristi Yamaguchi,8.5,9.5,9.5,,27.5
6,8,Mario,9.0,8.5,9.0,,26.5
6,8,Jason Taylor,9.0,8.0,9.0,,26.0
6,8,Marissa Jaret Winokur,8.5,8.0,8.5,,25.0
6,9,Kristi Yamaguchi,9.5,9.0,10.0,,28.5
6,9,Cristian de la Fuente,9.5,9.0,9.5,,28.0
6,9,Jason Taylor,9.0,9.5,9.0,,27.5
6,9,Marissa Jaret Winokur,8.5,9.0,8.5,,26.0
6,10,Kristi Yamaguchi,10.0,10.0,10.0,,30.0
6,10,Jason Taylor,9.5,9.5,9.5,,28.5
6,10,Cristian de la Fuente,9.0,8.0,9.0,,26.0
7,1,Brooke Burke,8.0,8.0,8.5,,24.5
7,1,Toni Braxton,7.5,7.0,8.0,,22.5
7,1,Warren Sapp,7.0,7.0,7.5,,21.5
7,1,Lance Bass,7.5,6.0,8.0,,21.5
7,1,Misty May-Treanor,6.5,7.5,7.0,,21.0
7,1,Cody Linley,7.0,6.5,7.0,,20.5
7,1,Maurice Greene,6.5,6.5,6.5,,19.5
7,1,Ted McGinley,6.0,6.0,6.5,,18.5
7,1,Susan Lucci,6.0,6.0,6.5,,18.5
7,1,Kim Kardashian,6.0,6.5,6.0,,18.5
7,1,Rocco DiSpirito,6.0,5.5,6.0,,17.5
7,1,Cloris Leachman,6.0,5.0,5.0,,16.0
7,1,Jeffrey Ross,4.0,4.0,4.0,,12.0
7,2,Warren Sapp,8.0,8.0,8.0,,24.0
7,2,Brooke Burke,8.0,8.0,8.0,,24.0
7,2,Toni Braxton,7.0,8.0,8.0,,23.0
7,2,Susan Lucci,7.0,7.0,7.0,,21.0
7,2,Cody Linley,7.0,7.0,7.0,,21.0
7,2,Misty May-Treanor,7.0,7.0,7.0,,21.0
7,2,Lance Bass,7.0,6.0,7.0,,20.0
7,2,Maurice Greene,7.0,6.0,6.0,,19.0
7,2,Kim Kardashian,6.0,6.0,5.0,,17.0
7,2,Rocco DiSpirito,5.0,6.0,5.0,,16.0
7,2,Cloris Leachman,5.0,5.0,5.0,,15.0
7,3,Brooke Burke,9.0,10.0,9.0,,28.0
7,3,Warren Sapp,9.0,8.0,8.0,,25.0
7,3,Maurice Greene,8.0,8.0,8.0,,24.0
7,3,Toni Braxton,8.0,7.0,7.0,,22.0
7,3,Lance Bass,8.0,7.0,7.0,,22.0
7,3,Susan Lucci,7.0,7.0,7.0,,21.0
7,3,Cody Linley,7.0,7.0,7.0,,21.0
7,3,Rocco DiSpirito,7.0,7.0,6.0,,20.0
7,3,Cloris Leachman,6.0,5.0,5.0,,16.0
7,4,Lance Bass,9.0,8.0,9.0,,26.0
7,4,Brooke Burke,9.0,8.0,9.0,,26.0
7,4,Susan Lucci,8.0,8.0,8.0,,24.0
7,4,Cody Linley,7.0,8.0,8.0,,23.0
7,4,Cloris Leachman,8.0,7.0,7.0,,22.0
7,4,Warren Sapp,8.0,7.0,7.0,,22.0
7,4,Toni Braxton,7.0,7.0,8.0,,22.0
7,4,Maurice Greene,6.0,7.0,7.0,,20.0
7,4,Rocco DiSpirito,6.0,6.0,6.0,,18.0
7,5,Brooke Burke,10.0,9.0,10.0,,29.0
7,5,Cody Linley,10.0,9.0,9.0,,28.0
7,5,Maurice Greene,9.0,9.0,9.0,,27.0
7,5,Warren Sapp,8.0,8.0,9.0,,25.0
7,5,Susan Lucci,7.0,7.0,8.0,,22.0
7,5,Toni Braxton,7.0,7.0,8.0,,22.0
7,5,Cloris Leachman,7.0,7.0,7.0,,21.0
7,5,Lance Bass,7.0,7.0,7.0,,21.0
7,6,Lance Bass,9.0,9.0,9.0,,27.0
7,6,Brooke Burke,8.0,10.0,8.0,,26.0
7,6,Warren Sapp,8.0,9.0,8.0,,25.0
7,6,Susan Lucci,8.0,8.0,7.0,,23.0
7,6,Cody Linley,8.0,8.0,7.0,,23.0
7,6,Maurice Greene,7.0,7.0,7.0,,21.0
7,6,Cloris Leachman,5.0,5.0,5.0,,15.0
7,7,Brooke Burke,10.0,10.0,10.0,,30.0
7,7,Maurice Greene,8.0,9.0,8.0,,25.0
7,7,Lance Bass,9.0,7.0,9.0,,25.0
7,7,Susan Lucci,8.0,8.0,8.0,,24.0
7,7,Cody Linley,8.0,7.0,7.0,,22.0
7,7,Warren Sapp,7.0,7.0,7.0,,21.0
7,8,Brooke Burke,9.5,8.5,9.5,,27.5
7,8,Warren Sapp,9.5,8.5,9.0,,27.0
7,8,Lance Bass,8.5,7.5,9.0,,25.0
7,8,Cody Linley,8.0,8.0,8.0,,24.0
7,8,Maurice Greene,8.0,8.0,8.0,,24.0
7,9,Lance Bass,10.0,9.0,9.5,,28.5
7,9,Warren Sapp,8.5,8.0,8.0,,24.5
7,9,Brooke Burke,8.0,8.5,8.0,,24.5
7,9,Cody Linley,8.0,7.5,7.5,,23.0
7,10,Brooke Burke,10.0,10.0,10.0,,30.0
7,10,Warren Sapp,9.0,9.5,9.0,,27.5
7,10,Lance Bass,9.0,9.0,9.5,,27.5
8,1,Gilles Marini,8.0,8.0,8.0,,24.0
8,1,Shawn Johnson,8.0,8.0,7.0,,23.0
8,1,Melissa Rycroft,8.0,7.0,8.0,,23.0
8,1,Lil' Kim,7.0,7.0,7.0,,21.0
8,1,Chuck Wicks,6.0,7.0,7.0,,20.0
8,1,David Alan Grier,6.0,7.0,6.0,,19.0
8,1,Denise Richards,6.0,6.0,6.0,,18.0
8,1,Holly Madison,6.0,6.0,6.0,,18.0
8,1,Belinda Carlisle,6.0,6.0,5.0,,17.0
8,1,Steve-O,6.0,5.0,6.0,,17.0
8,1,Lawrence Taylor,6.0,5.0,5.0,,16.0
8,1,Ty Murray,5.0,4.0,5.0,,14.0
8,1,Steve Wozniak,5.0,4.0,4.0,,13.0
8,2,Gilles Marini,9.0,9.0,9.0,,27.0
8,2,Melissa Rycroft,9.0,8.0,9.0,,26.0
8,2,Shawn Johnson,8.0,8.0,8.0,,24.0
8,2,Lil' Kim,8.0,7.0,8.0,,23.0
8,2,Denise Richards,7.0,7.0,7.0,,21.0
8,2,Lawrence Taylor,7.0,6.0,7.0,,20.0
8,2,Ty Murray,7.0,6.0,7.0,,20.0
8,2,Chuck Wicks,6.0,7.0,7.0,,20.0
8,2,Belinda Carlisle,6.0,6.0,6.0,,18.0
8,2,Holly Madison,6.0,6.0,6.0,,18.0
8,2,David Alan Grier,6.0,5.0,6.0,,17.0
8,2,Steve Wozniak,6.0,5.0,6.0,,17.0
8,2,Steve-O,5.0,4.0,5.0,,14.0
