season,week,method,contestant,judge_total,estimated_votes_total,ballroom_partner,celebrity_industry,celebrity_homecountry/region,celebrity_age_during_season,vote_share,judge_share,normal
3,1,percent,Harry Hamlin,17,595124,Ashly DelGrosso,Actor/Actress,United States,54,0.099187433,0.080188679,0.2
3,1,percent,Vivica A. Fox,22,572296,Nick Kosovich,Actor/Actress,United States,42,0.095382762,0.103773585,0.3
3,1,percent,Monique Coleman,19,586142,Louis van Amstel,Actor/Actress,United States,25,0.097690431,0.089622642,0.7
3,1,percent,Joey Lawrence,21,578700,Edyta Sliwinska,Actor/Actress,United States,30,0.096450096,0.099056604,0.8
3,1,percent,Mario Lopez,26,572308,Karina Smirnoff,Actor/Actress,United States,32,0.095384762,0.122641509,0.9
3,1,percent,Emmitt Smith,24,575566,Cheryl Burke,Athlete,United States,37,0.095927763,0.113207547,1
3,1,percent,Shanna Moakler,18,591216,Jesse DeSoto,Model,United States,31,0.098536099,0.08490566,0.1
3,1,percent,Willa Ford,22,573954,Maksim Chmerkoskiy,Singer/Rapper,United States,25,0.095659096,0.103773585,0.4
3,1,percent,Sara Evans,15,628640,Tony Dovolani,Singer/Rapper,United States,35,0.104773438,0.070754717,0.5
3,1,percent,Jerry Springer,16,604625,Kym Johnson,TV Personality,England,62,0.100770934,0.075471698,0.6
3,1,percent,Tucker Carlson,12,121423,Elena Grinenko,TV Personality,United States,37,0.020237187,0.056603774,0
3,2,percent,Harry Hamlin,21,699066,Ashly DelGrosso,Actor/Actress,United States,54,0.116511078,0.091304348,0.2
3,2,percent,Vivica A. Fox,24,620369,Nick Kosovich,Actor/Actress,United States,42,0.103394902,0.104347826,0.3
3,2,percent,Monique Coleman,26,599509,Louis van Amstel,Actor/Actress,United States,25,0.099918233,0.113043478,0.7
3,2,percent,Joey Lawrence,29,596153,Edyta Sliwinska,Actor/Actress,United States,30,0.0993589,0.126086957,0.8
3,2,percent,Mario Lopez,21,693972,Karina Smirnoff,Actor/Actress,United States,32,0.115662077,0.091304348,0.9
3,2,percent,Emmitt Smith,24,630782,Cheryl Burke,Athlete,United States,37,0.105130403,0.104347826,1
3,2,percent,Shanna Moakler,22,70483,Jesse DeSoto,Model,United States,31,0.011747174,0.095652174,0.1
3,2,percent,Willa Ford,23,650421,Maksim Chmerkoskiy,Singer/Rapper,United States,25,0.108403572,0.1,0.4
3,2,percent,Sara Evans,21,694753,Tony Dovolani,Singer/Rapper,United States,35,0.115792244,0.091304348,0.5
3,2,percent,Jerry Springer,19,744488,Kym Johnson,TV Personality,England,62,0.124081416,0.082608696,0.6
3,3,percent,Harry Hamlin,22,86424,Ashly DelGrosso,Actor/Actress,United States,54,0.01440401,0.106280193,0.2
3,3,percent,Vivica A. Fox,27,682611,Nick Kosovich,Actor/Actress,United States,42,0.113768576,0.130434783,0.3
3,3,percent,Monique Coleman,27,670052,Louis van Amstel,Actor/Actress,United States,25,0.111675408,0.130434783,0.7
3,3,percent,Joey Lawrence,22,759218,Edyta Sliwinska,Actor/Actress,United States,30,0.126536418,0.106280193,0.8
3,3,percent,Mario Lopez,22,751191,Karina Smirnoff,Actor/Actress,United States,32,0.125198583,0.106280193,0.9
3,3,percent,Emmitt Smith,19,842607,Cheryl Burke,Athlete,United States,37,0.140434594,0.09178744,1
3,3,percent,Willa Ford,22,751343,Maksim Chmerkoskiy,Singer/Rapper,United States,25,0.125223917,0.106280193,0.4
3,3,percent,Sara Evans,25,685304,Tony Dovolani,Singer/Rapper,United States,35,0.114217409,0.120772947,0.5
3,3,percent,Jerry Springer,21,771246,Kym Johnson,TV Personality,England,62,0.128541086,0.101449275,0.6
3,4,percent,Vivica A. Fox,24,105711,Nick Kosovich,Actor/Actress,United States,42,0.017618515,0.121212121,0.3
3,4,percent,Monique Coleman,24,847686,Louis van Amstel,Actor/Actress,United States,25,0.141281118,0.121212121,0.7
3,4,percent,Joey Lawrence,27,783726,Edyta Sliwinska,Actor/Actress,United States,30,0.130621109,0.136363636,0.8
3,4,percent,Mario Lopez,29,766065,Karina Smirnoff,Actor/Actress,United States,32,0.127677606,0.146464646,0.9
3,4,percent,Emmitt Smith,24,848229,Cheryl Burke,Athlete,United States,37,0.141371618,0.121212121,1
3,4,percent,Willa Ford,28,759654,Maksim Chmerkoskiy,Singer/Rapper,United States,25,0.126609106,0.141414141,0.4
3,4,percent,Sara Evans,20,975449,Tony Dovolani,Singer/Rapper,United States,35,0.162574969,0.101010101,0.5
3,4,percent,Jerry Springer,22,913475,Kym Johnson,TV Personality,England,62,0.15224596,0.111111111,0.6
3,5,percent,Monique Coleman,27,1238074,Louis van Amstel,Actor/Actress,United States,25,0.154759308,0.149171271,0.7
3,5,percent,Joey Lawrence,25,1321792,Edyta Sliwinska,Actor/Actress,United States,30,0.165224062,0.138121547,0.8
3,5,percent,Mario Lopez,27,1252601,Karina Smirnoff,Actor/Actress,United States,32,0.156575184,0.149171271,0.9
3,5,percent,Emmitt Smith,27,1253962,Cheryl Burke,Athlete,United States,37,0.156745309,0.149171271,1
3,5,percent,Willa Ford,27,155091,Maksim Chmerkoskiy,Singer/Rapper,United States,25,0.019386382,0.149171271,0.4
3,5,percent,Sara Evans,24,1387821,Tony Dovolani,Singer/Rapper,United States,35,0.17347769,0.132596685,0.5
3,5,percent,Jerry Springer,24,1390656,Kym Johnson,TV Personality,England,62,0.173832065,0.132596685,0.6
3,7,percent,Monique Coleman,27,1933471,Louis van Amstel,Actor/Actress,United States,25,0.241683966,0.2,0.7
3,7,percent,Joey Lawrence,28.5,1893607,Edyta Sliwinska,Actor/Actress,United States,30,0.236700964,0.211111111,0.8
3,7,percent,Mario Lopez,28,1889312,Karina Smirnoff,Actor/Actress,United States,32,0.236164089,0.207407407,0.9
3,7,percent,Emmitt Smith,28.5,1882751,Cheryl Burke,Athlete,United States,37,0.235343963,0.211111111,1
3,7,percent,Jerry Springer,23,400856,Kym Johnson,TV Personality,England,62,0.050107019,0.17037037,0.6
3,8,percent,Monique Coleman,26.5,517502,Louis van Amstel,Actor/Actress,United States,25,0.064687766,0.243119266,0.7
3,8,percent,Joey Lawrence,27,2517373,Edyta Sliwinska,Actor/Actress,United States,30,0.314671704,0.247706422,0.8
3,8,percent,Mario Lopez,28.5,2435524,Karina Smirnoff,Actor/Actress,United States,32,0.304440576,0.26146789,0.9
3,8,percent,Emmitt Smith,27,2529599,Cheryl Burke,Athlete,United States,37,0.316199954,0.247706422,1
3,9,percent,Joey Lawrence,29.5,891508,Edyta Sliwinska,Actor/Actress,United States,30,0.111438514,0.333333333,0.8
3,9,percent,Mario Lopez,29.5,3554640,Karina Smirnoff,Actor/Actress,United States,32,0.444330056,0.333333333,0.9
3,9,percent,Emmitt Smith,29.5,3553851,Cheryl Burke,Athlete,United States,37,0.444231431,0.333333333,1
3,10,percent,Mario Lopez,29.6666,2998075,Karina Smirnoff,Actor/Actress,United States,32,0.249839604,0.5,0.9
3,10,percent,Emmitt Smith,29.6666,9001924,Cheryl Burke,Athlete,United States,37,0.750160396,0.5,1
4,2,percent,John Ratzenberger,21,600386,Edyta Sliwinska,Actor/Actress,United States,59,0.100064433,0.085714286,0.5
4,2,percent,Ian Ziering,22,585467,Cheryl Burke,Actor/Actress,United States,42,0.097577931,0.089795918,0.7
4,2,percent,Clyde Drexler,18,682492,Elena Grinenko,Athlete,United States,44,0.11374878,0.073469388,0.3
4,2,percent,Laila Ali,27,544627,Maksim Chmerkoskiy,Athlete,United States,29,0.090771257,0.110204082,0.8
4,2,percent,Apolo Anton Ohno,26,550348,Julianne Hough,Athlete,United States,24,0.091724758,0.106122449,1
4,2,percent,Shandi Finnessey,20,625989,Brian Fortuna,Beauty Pagent,United States,28,0.104331604,0.081632653,0.1
4,2,percent,Paulina Porizkova,21,60574,Alec Mazo,Model,Czechoslovakia,41,0.010095677,0.085714286,0
4,2,percent,Heather Mills,24,567872,Jonathan Roberts,Model,England,39,0.094645428,0.097959184,0.4
4,2,percent,Billy Ray Cyrus,21,614516,Karina Smirnoff,Singer/Rapper,United States,45,0.102419436,0.085714286,0.6
4,2,percent,Joey Fatone,24,563278,Kym Johnson,Singer/Rapper,United States,30,0.093879761,0.097959184,0.9
4,2,percent,Leeza Gibbons,21,604445,Tony Dovolani,TV Personality,United States,50,0.100740934,0.085714286,0.2
4,3,percent,John Ratzenberger,20,690671,Edyta Sliwinska,Actor/Actress,United States,59,0.11511191,0.091743119,0.5
4,3,percent,Ian Ziering,24,615558,Cheryl Burke,Actor/Actress,United States,42,0.102593068,0.110091743,0.7
4,3,percent,Clyde Drexler,16,807414,Elena Grinenko,Athlete,United States,44,0.13456909,0.073394495,0.3
4,3,percent,Laila Ali,21,665434,Maksim Chmerkoskiy,Athlete,United States,29,0.110905741,0.096330275,0.8
4,3,percent,Apolo Anton Ohno,23,623112,Julianne Hough,Athlete,United States,24,0.103852069,0.105504587,1
4,3,percent,Shandi Finnessey,21,70926,Brian Fortuna,Beauty Pagent,United States,28,0.011821008,0.096330275,0.1
4,3,percent,Heather Mills,24,613979,Jonathan Roberts,Model,England,39,0.102329902,0.110091743,0.4
4,3,percent,Billy Ray Cyrus,21,675657,Karina Smirnoff,Singer/Rapper,United States,45,0.112609575,0.096330275,0.6
4,3,percent,Joey Fatone,24,617227,Kym Johnson,Singer/Rapper,United States,30,0.102871235,0.110091743,0.9
4,3,percent,Leeza Gibbons,24,620018,Tony Dovolani,TV Personality,United States,50,0.103336402,0.110091743,0.2
4,4,percent,John Ratzenberger,16,823420,Edyta Sliwinska,Actor/Actress,United States,59,0.137236758,0.084210526,0.5
4,4,percent,Ian Ziering,24,689716,Cheryl Burke,Actor/Actress,United States,42,0.114952743,0.126315789,0.7
4,4,percent,Clyde Drexler,15,854888,Elena Grinenko,Athlete,United States,44,0.142481428,0.078947368,0.3
4,4,percent,Laila Ali,21,715123,Maksim Chmerkoskiy,Athlete,United States,29,0.119187246,0.110526316,0.8
4,4,percent,Apolo Anton Ohno,26,685396,Julianne Hough,Athlete,United States,24,0.114232743,0.136842105,1
4,4,percent,Heather Mills,23,699077,Jonathan Roberts,Model,England,39,0.116512911,0.121052632,0.4
4,4,percent,Billy Ray Cyrus,21,713050,Karina Smirnoff,Singer/Rapper,United States,45,0.118841746,0.110526316,0.6
4,4,percent,Joey Fatone,28,688278,Kym Johnson,Singer/Rapper,United States,30,0.114713076,0.147368421,0.9
4,4,percent,Leeza Gibbons,16,131048,Tony Dovolani,TV Personality,United States,50,0.021841348,0.084210526,0.2
4,5,percent,John Ratzenberger,18,1159337,Edyta Sliwinska,Actor/Actress,United States,59,0.144917216,0.102272727,0.5
4,5,percent,Ian Ziering,24,1081734,Cheryl Burke,Actor/Actress,United States,42,0.135216835,0.136363636,0.7
4,5,percent,Clyde Drexler,13,267618,Elena Grinenko,Athlete,United States,44,0.033452271,0.073863636,0.3
4,5,percent,Laila Ali,28,1073547,Maksim Chmerkoskiy,Athlete,United States,29,0.134193459,0.159090909,0.8
4,5,percent,Apolo Anton Ohno,30,1050606,Julianne Hough,Athlete,United States,24,0.131325832,0.170454545,1
4,5,percent,Heather Mills,21,1111461,Jonathan Roberts,Model,England,39,0.138932712,0.119318182,0.4
4,5,percent,Billy Ray Cyrus,17,1181509,Karina Smirnoff,Singer/Rapper,United States,45,0.147688717,0.096590909,0.6
4,5,percent,Joey Fatone,25,1074183,Kym Johnson,Singer/Rapper,United States,30,0.134272959,0.142045455,0.9
4,6,percent,John Ratzenberger,19,1524945,Edyta Sliwinska,Actor/Actress,United States,59,0.19061822,0.111764706,0.5
4,6,percent,Ian Ziering,24,1280316,Cheryl Burke,Actor/Actress,United States,42,0.16003958,0.141176471,0.7
4,6,percent,Laila Ali,28,1195220,Maksim Chmerkoskiy,Athlete,United States,29,0.149402575,0.164705882,0.8
4,6,percent,Apolo Anton Ohno,28,1188708,Julianne Hough,Athlete,United States,24,0.148588574,0.164705882,1
4,6,percent,Heather Mills,23,191236,Jonathan Roberts,Model,England,39,0.023904512,0.135294118,0.4
4,6,percent,Billy Ray Cyrus,21,1423109,Karina Smirnoff,Singer/Rapper,United States,45,0.177888714,0.123529412,0.6
4,6,percent,Joey Fatone,27,1196462,Kym Johnson,Singer/Rapper,United States,30,0.149557825,0.158823529,0.9
4,7,percent,John Ratzenberger,22.5,285876,Edyta Sliwinska,Actor/Actress,United States,59,0.035734509,0.145631068,0.5
4,7,percent,Ian Ziering,27,1488679,Cheryl Burke,Actor/Actress,United States,42,0.186084922,0.174757282,0.7
4,7,percent,Laila Ali,29.5,1429196,Maksim Chmerkoskiy,Athlete,United States,29,0.178649545,0.190938511,0.8
4,7,percent,Apolo Anton Ohno,27,1491845,Julianne Hough,Athlete,United States,24,0.186480672,0.174757282,1
4,7,percent,Billy Ray Cyrus,19,1861491,Karina Smirnoff,Singer/Rapper,United States,45,0.232686433,0.122977346,0.6
4,7,percent,Joey Fatone,29.5,1442911,Kym Johnson,Singer/Rapper,United States,30,0.18036392,0.190938511,0.9
4,8,percent,Ian Ziering,23.5,1972538,Cheryl Burke,Actor/Actress,United States,42,0.246567312,0.187250996,0.7
4,8,percent,Laila Ali,26.5,1875698,Maksim Chmerkoskiy,Athlete,United States,29,0.234462309,0.211155378,0.8
4,8,percent,Apolo Anton Ohno,29,1828832,Julianne Hough,Athlete,United States,24,0.228604057,0.231075697,1
4,8,percent,Billy Ray Cyrus,19,462853,Karina Smirnoff,Singer/Rapper,United States,45,0.057856639,0.151394422,0.6
4,8,percent,Joey Fatone,27.5,1860077,Kym Johnson,Singer/Rapper,United States,30,0.232509683,0.219123506,0.9
4,9,percent,Ian Ziering,29,513016,Cheryl Burke,Actor/Actress,United States,42,0.064127016,0.244725738,0.7
4,9,percent,Laila Ali,30,2485552,Maksim Chmerkoskiy,Athlete,United States,29,0.310694078,0.253164557,0.8
4,9,percent,Apolo Anton Ohno,29.5,2524263,Julianne Hough,Athlete,United States,24,0.315532954,0.248945148,1
4,9,percent,Joey Fatone,30,2477167,Kym Johnson,Singer/Rapper,United States,30,0.309645952,0.253164557,0.9
4,10,percent,Laila Ali,28.3332,1351580,Maksim Chmerkoskiy,Athlete,United States,29,0.112631685,0.328185431,0.8
4,10,percent,Apolo Anton Ohno,29.3332,7313546,Julianne Hough,Athlete,United States,24,0.609462268,0.339768501,1
4,10,percent,Joey Fatone,28.6665,3334872,Kym Johnson,Singer/Rapper,United States,30,0.277906046,0.332046068,0.9
5,1,percent,Cameron Mathison,21,898709,Edyta Sliwinska,Actor/Actress,Canada,38,0.089870963,0.081712062,0.636363636
5,1,percent,Jane Seymour,24,870990,Tony Dovolani,Actor/Actress,England,56,0.087099061,0.093385214,0.545454545
5,1,percent,Sabrina Bryan,26,873410,Mark Ballas,Actor/Actress,United States,23,0.087341061,0.101167315,0.454545455
5,1,percent,Jennie Garth,21,893705,Derek Hough,Actor/Actress,United States,35,0.089370563,0.081712062,0.727272727
5,1,percent,Floyd Mayweather Jr.,18,960011,Karina Smirnoff,Athlete,United States,30,0.096001167,0.070038911,0.272727273
5,1,percent,Josie Maran,16,143913,Alec Mazo,Model,United States,29,0.01439131,0.062256809,0
5,1,percent,Albert Reed,21,892937,Anna Trebunskaya,Model,United States,22,0.089293763,0.081712062,0.090909091
5,1,percent,Helio Castroneves,25,876248,Julianne Hough,Racing Driver,Brazil,32,0.087624861,0.097276265,1
5,1,percent,Mel B,24,868477,Maksim Chmerkoskiy,Singer/Rapper,England,32,0.086847761,0.093385214,0.909090909
5,1,percent,Wayne Newton,19,937371,Cheryl Burke,Singer/Rapper,United States,65,0.093737166,0.073929961,0.181818182
5,1,percent,Marie Osmond,21,890171,Jonathan Roberts,Singer/Rapper,United States,47,0.089017162,0.081712062,0.818181818
5,1,percent,Mark Cuban,21,894051,Kym Johnson,TV Personality,United States,49,0.089405163,0.081712062,0.363636364
5,2,percent,Cameron Mathison,21,984876,Edyta Sliwinska,Actor/Actress,Canada,38,0.098487649,0.088235294,0.636363636
5,2,percent,Jane Seymour,21,991805,Tony Dovolani,Actor/Actress,England,56,0.09918055,0.088235294,0.545454545
5,2,percent,Sabrina Bryan,26,893026,Mark Ballas,Actor/Actress,United States,23,0.089302645,0.109243697,0.454545455
5,2,percent,Jennie Garth,21,977600,Derek Hough,Actor/Actress,United States,35,0.097760049,0.088235294,0.727272727
5,2,percent,Floyd Mayweather Jr.,21,992417,Karina Smirnoff,Athlete,United States,30,0.09924175,0.088235294,0.272727273
5,2,percent,Albert Reed,21,99999,Anna Trebunskaya,Model,United States,22,0.009999905,0.088235294,0.090909091
5,2,percent,Helio Castroneves,27,899024,Julianne Hough,Racing Driver,Brazil,32,0.089902445,0.113445378,1
5,2,percent,Mel B,23,922057,Maksim Chmerkoskiy,Singer/Rapper,England,32,0.092205746,0.096638655,0.909090909
5,2,percent,Wayne Newton,15,1235497,Cheryl Burke,Singer/Rapper,United States,65,0.123549762,0.06302521,0.181818182
5,2,percent,Marie Osmond,24,893222,Jonathan Roberts,Singer/Rapper,United States,47,0.089322245,0.100840336,0.818181818
5,2,percent,Mark Cuban,18,1110472,Kym Johnson,TV Personality,United States,49,0.111047256,0.075630252,0.363636364
5,3,percent,Cameron Mathison,23,1095454,Edyta Sliwinska,Actor/Actress,Canada,38,0.109545466,0.09623431,0.636363636
5,3,percent,Jane Seymour,27,1068753,Tony Dovolani,Actor/Actress,England,56,0.106875364,0.112970711,0.545454545
5,3,percent,Sabrina Bryan,27,1057459,Mark Ballas,Actor/Actress,United States,23,0.105745963,0.112970711,0.454545455
5,3,percent,Jennie Garth,26,1070259,Derek Hough,Actor/Actress,United States,35,0.107025964,0.108786611,0.727272727
5,3,percent,Floyd Mayweather Jr.,21,1141667,Karina Smirnoff,Athlete,United States,30,0.114166769,0.087866109,0.272727273
5,3,percent,Helio Castroneves,24,1080879,Julianne Hough,Racing Driver,Brazil,32,0.108087965,0.10041841,1
5,3,percent,Mel B,27,1066464,Maksim Chmerkoskiy,Singer/Rapper,England,32,0.106646464,0.112970711,0.909090909
5,3,percent,Wayne Newton,18,190905,Cheryl Burke,Singer/Rapper,United States,65,0.019090511,0.075313808,0.181818182
5,3,percent,Marie Osmond,26,1063986,Jonathan Roberts,Singer/Rapper,United States,47,0.106398664,0.108786611,0.818181818
5,3,percent,Mark Cuban,20,1164168,Kym Johnson,TV Personality,United States,49,0.11641687,0.083682008,0.363636364
5,4,percent,Cameron Mathison,27,1201512,Edyta Sliwinska,Actor/Actress,Canada,38,0.12015126,0.115384615,0.636363636
5,4,percent,Jane Seymour,26,1235691,Tony Dovolani,Actor/Actress,England,56,0.123569162,0.111111111,0.545454545
5,4,percent,Sabrina Bryan,30,1157973,Mark Ballas,Actor/Actress,United States,23,0.115797358,0.128205128,0.454545455
5,4,percent,Jennie Garth,27,1205679,Derek Hough,Actor/Actress,United States,35,0.12056796,0.115384615,0.727272727
5,4,percent,Floyd Mayweather Jr.,23,166613,Karina Smirnoff,Athlete,United States,30,0.016661308,0.098290598,0.272727273
