season,week,method,contestant,judge_total,estimated_votes_total,ballroom_partner,celebrity_industry,celebrity_homecountry/region,celebrity_age_during_season
2,3,rank,Drew Lachey,27,713371,Cheryl Burke,Singer/Rapper,United States,29
2,4,rank,Tia Carrere,25,909557,Maksim Chmerkoskiy,Actor/Actress,United States,39
2,4,rank,George Hamilton,21,1071462,Edyta Sliwinska,Actor/Actress,United States,66
2,4,rank,Lisa Rinna,26,890895,Louis van Amstel,Actor/Actress,United States,42
2,4,rank,Stacy Keibler,26,884915,Tony Dovolani,Athlete,United States,26
2,4,rank,Jerry Rice,24,971045,Anna Trebunskaya,Athlete,United States,43
2,4,rank,Master P,8,384196,Ashly DelGrosso,Singer/Rapper,United States,35
2,4,rank,Drew Lachey,28,887926,Cheryl Burke,Singer/Rapper,United States,29
2,5,rank,Tia Carrere,22,661872,Maksim Chmerkoskiy,Actor/Actress,United States,39
2,5,rank,George Hamilton,24,1482479,Edyta Sliwinska,Actor/Actress,United States,66
2,5,rank,Lisa Rinna,25,1403680,Louis van Amstel,Actor/Actress,United States,42
2,5,rank,Stacy Keibler,30,1384341,Tony Dovolani,Athlete,United States,26
2,5,rank,Jerry Rice,23,1674268,Anna Trebunskaya,Athlete,United States,43
2,5,rank,Drew Lachey,27,1393357,Cheryl Burke,Singer/Rapper,United States,29
2,6,rank,George Hamilton,23,668648,Edyta Sliwinska,Actor/Actress,United States,66
2,6,rank,Lisa Rinna,27,1773245,Louis van Amstel,Actor/Actress,United States,42
2,6,rank,Stacy Keibler,30,1643636,Tony Dovolani,Athlete,United States,26
2,6,rank,Jerry Rice,23,2264088,Anna Trebunskaya,Athlete,United States,43
2,6,rank,Drew Lachey,30,1650380,Cheryl Burke,Singer/Rapper,United States,29
2,7,rank,Lisa Rinna,26.5,1002951,Louis van Amstel,Actor/Actress,United States,42
2,7,rank,Stacy Keibler,27.5,1994396,Tony Dovolani,Athlete,United States,26
2,7,rank,Jerry Rice,20.5,3012902,Anna Trebunskaya,Athlete,United States,43
2,7,rank,Drew Lachey,27.5,1989749,Cheryl Burke,Singer/Rapper,United States,29
2,8,rank,Stacy Keibler,28.6665,2008641,Tony Dovolani,Athlete,United States,26
2,8,rank,Jerry Rice,26.6666,6011053,Anna Trebunskaya,Athlete,United States,43
2,8,rank,Drew Lachey,28.9998,3980305,Cheryl Burke,Singer/Rapper,United States,29
3,1,percent,Harry Hamlin,17,595124,Ashly DelGrosso,Actor/Actress,United States,54
3,1,percent,Vivica A. Fox,22,572296,Nick Kosovich,Actor/Actress,United States,42
3,1,percent,Monique Coleman,19,586142,Louis van Amstel,Actor/Actress,United States,25
3,1,percent,Joey Lawrence,21,578700,Edyta Sliwinska,Actor/Actress,United States,30
3,1,percent,Mario Lopez,26,572308,Karina Smirnoff,Actor/Actress,United States,32
3,1,percent,Emmitt Smith,24,575566,Cheryl Burke,Athlete,United States,37
3,1,percent,Shanna Moakler,18,591216,Jesse DeSoto,Model,United States,31
3,1,percent,Willa Ford,22,573954,Maksim Chmerkoskiy,Singer/Rapper,United States,25
3,1,percent,Sara Evans,15,628640,Tony Dovolani,Singer/Rapper,United States,35
3,1,percent,Jerry Springer,16,604625,Kym Johnson,TV Personality,England,62
3,1,percent,Tucker Carlson,12,121423,Elena Grinenko,TV Personality,United States,37
3,2,percent,Harry Hamlin,21,699066,Ashly DelGrosso,Actor/Actress,United States,54
3,2,percent,Vivica A. Fox,24,620369,Nick Kosovich,Actor/Actress,United States,42
3,2,percent,Monique Coleman,26,599509,Louis van Amstel,Actor/Actress,United States,25
3,2,percent,Joey Lawrence,29,596153,Edyta Sliwinska,Actor/Actress,United States,30
3,2,percent,Mario Lopez,21,693972,Karina Smirnoff,Actor/Actress,United States,32
3,2,percent,Emmitt Smith,24,630782,Cheryl Burke,Athlete,United States,37
3,2,percent,Shanna Moakler,22,70483,Jesse DeSoto,Model,United States,31
3,2,percent,Willa Ford,23,650421,Maksim Chmerkoskiy,Singer/Rapper,United States,25
3,2,percent,Sara Evans,21,694753,Tony Dovolani,Singer/Rapper,United States,35
3,2,percent,Jerry Springer,19,744488,Kym Johnson,TV Personality,England,62
3,3,percent,Harry Hamlin,22,86424,Ashly DelGrosso,Actor/Actress,United States,54
3,3,percent,Vivica A. Fox,27,682611,Nick Kosovich,Actor/Actress,United States,42
3,3,percent,Monique Coleman,27,670052,Louis van Amstel,Actor/Actress,United States,25
3,3,percent,Joey Lawrence,22,759218,Edyta Sliwinska,Actor/Actress,United States,30
3,3,percent,Mario Lopez,22,751191,Karina Smirnoff,Actor/Actress,United States,32
3,3,percent,Emmitt Smith,19,842607,Cheryl Burke,Athlete,United States,37
3,3,percent,Willa Ford,22,751343,Maksim Chmerkoskiy,Singer/Rapper,United States,25
3,3,percent,Sara Evans,25,685304,Tony Dovolani,Singer/Rapper,United States,35
3,3,percent,Jerry Springer,21,771246,Kym Johnson,TV Personality,England,62
3,4,percent,Vivica A. Fox,24,105711,Nick Kosovich,Actor/Actress,United States,42
3,4,percent,Monique Coleman,24,847686,Louis van Amstel,Actor/Actress,United States,25
3,4,percent,Joey Lawrence,27,783726,Edyta Sliwinska,Actor/Actress,United States,30
3,4,percent,Mario Lopez,29,766065,Karina Smirnoff,Actor/Actress,United States,32
3,4,percent,Emmitt Smith,24,848229,Cheryl Burke,Athlete,United States,37
3,4,percent,Willa Ford,28,759654,Maksim Chmerkoskiy,Singer/Rapper,United States,25
3,4,percent,Sara Evans,20,975449,Tony Dovolani,Singer/Rapper,United States,35
3,4,percent,Jerry Springer,22,913475,Kym Johnson,TV Personality,England,62
3,5,percent,Monique Coleman,27,1238074,Louis van Amstel,Actor/Actress,United States,25
3,5,percent,Joey Lawrence,25,1321792,Edyta Sliwinska,Actor/Actress,United States,30
3,5,percent,Mario Lopez,27,1252601,Karina Smirnoff,Actor/Actress,United States,32
3,5,percent,Emmitt Smith,27,1253962,Cheryl Burke,Athlete,United States,37
3,5,percent,Willa Ford,27,155091,Maksim Chmerkoskiy,Singer/Rapper,United States,25
3,5,percent,Sara Evans,24,1387821,Tony Dovolani,Singer/Rapper,United States,35
3,5,percent,Jerry Springer,24,1390656,Kym Johnson,TV Personality,England,62
3,7,percent,Monique Coleman,27,1933471,Louis van Amstel,Actor/Actress,United States,25
3,7,percent,Joey Lawrence,28.5,1893607,Edyta Sliwinska,Actor/Actress,United States,30
3,7,percent,Mario Lopez,28,1889312,Karina Smirnoff,Actor/Actress,United States,32
3,7,percent,Emmitt Smith,28.5,1882751,Cheryl Burke,Athlete,United States,37
3,7,percent,Jerry Springer,23,400856,Kym Johnson,TV Personality,England,62
3,8,percent,Monique Coleman,26.5,517502,Louis van Amstel,Actor/Actress,United States,25
3,8,percent,Joey Lawrence,27,2517373,Edyta Sliwinska,Actor/Actress,United States,30
3,8,percent,Mario Lopez,28.5,2435524,Karina Smirnoff,Actor/Actress,United States,32
3,8,percent,Emmitt Smith,27,2529599,Cheryl Burke,Athlete,United States,37
3,9,percent,Joey Lawrence,29.5,891508,Edyta Sliwinska,Actor/Actress,United States,30
3,9,percent,Mario Lopez,29.5,3554640,Karina Smirnoff,Actor/Actress,United States,32
3,9,percent,Emmitt Smith,29.5,3553851,Cheryl Burke,Athlete,United States,37
3,10,percent,Mario Lopez,29.6666,2998075,Karina Smirnoff,Actor/Actress,United States,32
3,10,percent,Emmitt Smith,29.6666,9001924,Cheryl Burke,Athlete,United States,37
4,2,percent,John Ratzenberger,21,600386,Edyta Sliwinska,Actor/Actress,United States,59
4,2,percent,Ian Ziering,22,585467,Cheryl Burke,Actor/Actress,United States,42
4,2,percent,Clyde Drexler,18,682492,Elena Grinenko,Athlete,United States,44
4,2,percent,Laila Ali,27,544627,Maksim Chmerkoskiy,Athlete,United States,29
4,2,percent,Apolo Anton Ohno,26,550348,Julianne Hough,Athlete,United States,24
4,2,percent,Shandi Finnessey,20,625989,Brian Fortuna,Beauty Pagent,United States,28
4,2,percent,Paulina Porizkova,21,60574,Alec Mazo,Model,Czechoslovakia,41
4,2,percent,Heather Mills,24,567872,Jonathan Roberts,Model,England,39
4,2,percent,Billy Ray Cyrus,21,614516,Karina Smirnoff,Singer/Rapper,United States,45
4,2,percent,Joey Fatone,24,563278,Kym Johnson,Singer/Rapper,United States,30
4,2,percent,Leeza Gibbons,21,604445,Tony Dovolani,TV Personality,United States,50
4,3,percent,John Ratzenberger,20,690671,Edyta Sliwinska,Actor/Actress,United States,59
4,3,percent,Ian Ziering,24,615558,Cheryl Burke,Actor/Actress,United States,42
4,3,percent,Clyde Drexler,16,807414,Elena Grinenko,Athlete,United States,44
4,3,percent,Laila Ali,21,665434,Maksim Chmerkoskiy,Athlete,United States,29
4,3,percent,Apolo Anton Ohno,23,623112,Julianne Hough,Athlete,United States,24
4,3,percent,Shandi Finnessey,21,70926,Brian Fortuna,Beauty Pagent,United States,28
4,3,percent,Heather Mills,24,613979,Jonathan Roberts,Model,England,39
4,3,percent,Billy Ray Cyrus,21,675657,Karina Smirnoff,Singer/Rapper,United States,45
4,3,percent,Joey Fatone,24,617227,Kym Johnson,Singer/Rapper,United States,30
4,3,percent,Leeza Gibbons,24,620018,Tony Dovolani,TV Personality,United States,50
4,4,percent,John Ratzenberger,16,823420,Edyta Sliwinska,Actor/Actress,United States,59
4,4,percent,Ian Ziering,24,689716,Cheryl Burke,Actor/Actress,United States,42
4,4,percent,Clyde Drexler,15,854888,Elena Grinenko,Athlete,United States,44
4,4,percent,Laila Ali,21,715123,Maksim Chmerkoskiy,Athlete,United States,29
4,4,percent,Apolo Anton Ohno,26,685396,Julianne Hough,Athlete,United States,24
4,4,percent,Heather Mills,23,699077,Jonathan Roberts,Model,England,39
4,4,percent,Billy Ray Cyrus,21,713050,Karina Smirnoff,Singer/Rapper,United States,45
4,4,percent,Joey Fatone,28,688278,Kym Johnson,Singer/Rapper,United States,30
4,4,percent,Leeza Gibbons,16,131048,Tony Dovolani,TV Personality,United States,50
4,5,percent,John Ratzenberger,18,1159337,Edyta Sliwinska,Actor/Actress,United States,59
4,5,percent,Ian Ziering,24,1081734,Cheryl Burke,Actor/Actress,United States,42
4,5,percent,Clyde Drexler,13,267618,Elena Grinenko,Athlete,United States,44
4,5,percent,Laila Ali,28,1073547,Maksim Chmerkoskiy,Athlete,United States,29
4,5,percent,Apolo Anton Ohno,30,1050606,Julianne Hough,Athlete,United States,24
4,5,percent,Heather Mills,21,1111461,Jonathan Roberts,Model,England,39
4,5,percent,Billy Ray Cyrus,17,1181509,Karina Smirnoff,Singer/Rapper,United States,45
4,5,percent,Joey Fatone,25,1074183,Kym Johnson,Singer/Rapper,United States,30
4,6,percent,John Ratzenberger,19,1524945,Edyta Sliwinska,Actor/Actress,United States,59
4,6,percent,Ian Ziering,24,1280316,Cheryl Burke,Actor/Actress,United States,42
4,6,percent,Laila Ali,28,1195220,Maksim Chmerkoskiy,Athlete,United States,29
4,6,percent,Apolo Anton Ohno,28,1188708,Julianne Hough,Athlete,United States,24
4,6,percent,Heather Mills,23,191236,Jonathan Roberts,Model,England,39
4,6,percent,Billy Ray Cyrus,21,1423109,Karina Smirnoff,Singer/Rapper,United States,45
4,6,percent,Joey Fatone,27,1196462,Kym Johnson,Singer/Rapper,United States,30
4,7,percent,John Ratzenberger,22.5,285876,Edyta Sliwinska,Actor/Actress,United States,59
4,7,percent,Ian Ziering,27,1488679,Cheryl Burke,Actor/Actress,United States,42
4,7,percent,Laila Ali,29.5,1429196,Maksim Chmerkoskiy,Athlete,United States,29
4,7,percent,Apolo Anton Ohno,27,1491845,Julianne Hough,Athlete,United States,24
4,7,percent,Billy Ray Cyrus,19,1861491,Karina Smirnoff,Singer/Rapper,United States,45
4,7,percent,Joey Fatone,29.5,1442911,Kym Johnson,Singer/Rapper,United States,30
4,8,percent,Ian Ziering,23.5,1972538,Cheryl Burke,Actor/Actress,United States,42
4,8,percent,Laila Ali,26.5,1875698,Maksim Chmerkoskiy,Athlete,United States,29
4,8,percent,Apolo Anton Ohno,29,1828832,Julianne Hough,Athlete,United States,24
4,8,percent,Billy Ray Cyrus,19,462853,Karina Smirnoff,Singer/Rapper,United States,45
4,8,percent,Joey Fatone,27.5,1860077,Kym Johnson,Singer/Rapper,United States,30
4,9,percent,Ian Ziering,29,513016,Cheryl Burke,Actor/Actress,United States,42
4,9,percent,Laila Ali,30,2485552,Maksim Chmerkoskiy,Athlete,United States,29
4,9,percent,Apolo Anton Ohno,29.5,2524263,Julianne Hough,Athlete,United States,24
4,9,percent,Joey Fatone,30,2477167,Kym Johnson,Singer/Rapper,United States,30
4,10,percent,Laila Ali,28.3332,1351580,Maksim Chmerkoskiy,Athlete,United States,29
4,10,percent,Apolo Anton Ohno,29.3332,7313546,Julianne Hough,Athlete,United States,24
4,10,percent,Joey Fatone,28.6665,3334872,Kym Johnson,Singer/Rapper,United States,30
5,1,percent,Cameron Mathison,21,898709,Edyta Sliwinska,Actor/Actress,Canada,38
5,1,percent,Jane Seymour,24,870990,Tony Dovolani,Actor/Actress,England,56
5,1,percent,Sabrina Bryan,26,873410,Mark Ballas,Actor/Actress,United States,23
5,1,percent,Jennie Garth,21,893705,Derek Hough,Actor/Actress,United States,35
5,1,percent,Floyd Mayweather Jr. ,18,960011,Karina Smirnoff,Athlete,United States,30
5,1,percent,Josie Maran,16,143913,Alec Mazo,Model,United States,29
5,1,percent,Albert Reed,21,892937,Anna Trebunskaya,Model,United States,22
5,1,percent,Helio Castroneves,25,876248,Julianne Hough,Racing Driver,Brazil,32
5,1,percent,Mel B,24,868477,Maksim Chmerkoskiy,Singer/Rapper,England,32
5,1,percent,Wayne Newton,19,937371,Cheryl Burke,Singer/Rapper,United States,65
5,1,percent,Marie Osmond,21,890171,Jonathan Roberts,Singer/Rapper,United States,47
5,1,percent,Mark Cuban,21,894051,Kym Johnson,TV Personality,United States,49
5,2,percent,Cameron Mathison,21,984876,Edyta Sliwinska,Actor/Actress,Canada,38
5,2,percent,Jane Seymour,21,991805,Tony Dovolani,Actor/Actress,England,56
5,2,percent,Sabrina Bryan,26,893026,Mark Ballas,Actor/Actress,United States,23
5,2,percent,Jennie Garth,21,977600,Derek Hough,Actor/Actress,United States,35
5,2,percent,Floyd Mayweather Jr. ,21,992417,Karina Smirnoff,Athlete,United States,30
5,2,percent,Albert Reed,21,99999,Anna Trebunskaya,Model,United States,22
5,2,percent,Helio Castroneves,27,899024,Julianne Hough,Racing Driver,Brazil,32
5,2,percent,Mel B,23,922057,Maksim Chmerkoskiy,Singer/Rapper,England,32
5,2,percent,Wayne Newton,15,1235497,Cheryl Burke,Singer/Rapper,United States,65
5,2,percent,Marie Osmond,24,893222,Jonathan Roberts,Singer/Rapper,United States,47
5,2,percent,Mark Cuban,18,1110472,Kym Johnson,TV Personality,United States,49
5,3,percent,Cameron Mathison,23,1095454,Edyta Sliwinska,Actor/Actress,Canada,38
5,3,percent,Jane Seymour,27,1068753,Tony Dovolani,Actor/Actress,England,56
5,3,percent,Sabrina Bryan,27,1057459,Mark Ballas,Actor/Actress,United States,23
5,3,percent,Jennie Garth,26,1070259,Derek Hough,Actor/Actress,United States,35
5,3,percent,Floyd Mayweather Jr. ,21,1141667,Karina Smirnoff,Athlete,United States,30
5,3,percent,Helio Castroneves,24,1080879,Julianne Hough,Racing Driver,Brazil,32
5,3,percent,Mel B,27,1066464,Maksim Chmerkoskiy,Singer/Rapper,England,32
5,3,percent,Wayne Newton,18,190905,Cheryl Burke,Singer/Rapper,United States,65
5,3,percent,Marie Osmond,26,1063986,Jonathan Roberts,Singer/Rapper,United States,47
5,3,percent,Mark Cuban,20,1164168,Kym Johnson,TV Personality,United States,49
5,4,percent,Cameron Mathison,27,1201512,Edyta Sliwinska,Actor/Actress,Canada,38
5,4,percent,Jane Seymour,26,1235691,Tony Dovolani,Actor/Actress,England,56
5,4,percent,Sabrina Bryan,30,1157973,Mark Ballas,Actor/Actress,United States,23
5,4,percent,Jennie Garth,27,1205679,Derek Hough,Actor/Actress,United States,35
5,4,percent,Floyd Mayweather Jr. ,23,166613,Karina Smirnoff,Athlete,United States,30
5,4,percent,Helio Castroneves,27,1211540,Julianne Hough,Racing Driver,Brazil,32
5,4,percent,Mel B,26,1227980,Maksim Chmerkoskiy,Singer/Rapper,England,32
5,4,percent,Marie Osmond,26,1224930,Jonathan Roberts,Singer/Rapper,United States,47
5,4,percent,Mark Cuban,22,1368077,Kym Johnson,TV Personality,United States,49
5,5,percent,Cameron Mathison,26,1497385,Edyta Sliwinska,Actor/Actress,Canada,38
5,5,percent,Jane Seymour,26,1508741,Tony Dovolani,Actor/Actress,England,56
5,5,percent,Sabrina Bryan,28,1475523,Mark Ballas,Actor/Actress,United States,23
5,5,percent,Jennie Garth,25,1525006,Derek Hough,Actor/Actress,United States,35
5,5,percent,Helio Castroneves,23,1589726,Julianne Hough,Racing Driver,Brazil,32
5,5,percent,Mel B,29,1465128,Maksim Chmerkoskiy,Singer/Rapper,England,32
5,5,percent,Marie Osmond,21,1694360,Jonathan Roberts,Singer/Rapper,United States,47
5,5,percent,Mark Cuban,21,244127,Kym Johnson,TV Personality,United States,49
5,6,percent,Cameron Mathison,25,1813461,Edyta Sliwinska,Actor/Actress,Canada,38
5,6,percent,Jane Seymour,22,2007464,Tony Dovolani,Actor/Actress,England,56
5,6,percent,Sabrina Bryan,25,246127,Mark Ballas,Actor/Actress,United States,23
5,6,percent,Jennie Garth,27,1694443,Derek Hough,Actor/Actress,United States,35
5,6,percent,Helio Castroneves,28,1675534,Julianne Hough,Racing Driver,Brazil,32
5,6,percent,Mel B,30,1638113,Maksim Chmerkoskiy,Singer/Rapper,England,32
5,6,percent,Marie Osmond,23,1924855,Jonathan Roberts,Singer/Rapper,United States,47
5,7,percent,Cameron Mathison,25.5,2172655,Edyta Sliwinska,Actor/Actress,Canada,38
5,7,percent,Jane Seymour,25,320595,Tony Dovolani,Actor/Actress,England,56
5,7,percent,Jennie Garth,26.5,2137780,Derek Hough,Actor/Actress,United States,35
5,7,percent,Helio Castroneves,26,2144030,Julianne Hough,Racing Driver,Brazil,32
5,7,percent,Mel B,27,2085563,Maksim Chmerkoskiy,Singer/Rapper,England,32
5,7,percent,Marie Osmond,26,2139374,Jonathan Roberts,Singer/Rapper,United States,47
5,8,percent,Cameron Mathison,25.5,467282,Edyta Sliwinska,Actor/Actress,Canada,38
5,8,percent,Jennie Garth,25,2730762,Derek Hough,Actor/Actress,United States,35
5,8,percent,Helio Castroneves,28.5,2518487,Julianne Hough,Racing Driver,Brazil,32
5,8,percent,Mel B,28,2529040,Maksim Chmerkoskiy,Singer/Rapper,England,32
5,8,percent,Marie Osmond,24.5,2754427,Jonathan Roberts,Singer/Rapper,United States,47
5,9,percent,Jennie Garth,29,696215,Derek Hough,Actor/Actress,United States,35
5,9,percent,Helio Castroneves,30,3369545,Julianne Hough,Racing Driver,Brazil,32
5,9,percent,Mel B,30,3383162,Maksim Chmerkoskiy,Singer/Rapper,England,32
5,9,percent,Marie Osmond,28,3551076,Jonathan Roberts,Singer/Rapper,United States,47
5,10,percent,Helio Castroneves,27.9999,9300694,Julianne Hough,Racing Driver,Brazil,32
5,10,percent,Mel B,28.3332,3787915,Maksim Chmerkoskiy,Singer/Rapper,England,32
5,10,percent,Marie Osmond,23,1911389,Jonathan Roberts,Singer/Rapper,United States,47
6,2,percent,Cristian de la Fuente,20,994620,Cheryl Burke,Actor/Actress,Chile,34
6,2,percent,Steve Guttenberg,16,1160302,Anna Trebunskaya,Actor/Actress,United States,49
6,2,percent,Priscilla Presley,21,974805,Louis van Amstel,Actor/Actress,United States,62
6,2,percent,Marlee Matlin,24,898528,Fabian Sanchez,Actor/Actress,United States,42
6,2,percent,Shannon Elizabeth,24,925578,Derek Hough,Actor/Actress,United States,34
6,2,percent,Marissa Jaret Winokur,21,968370,Tony Dovolani,Actor/Actress,United States,35
6,2,percent,Jason Taylor,27,890000,Edyta Sliwinska,Athlete,United States,33
6,2,percent,Kristi Yamaguchi,27,897562,Mark Ballas,Athlete,United States,36
6,2,percent,Monica Seles,15,193698,Jonathan Roberts,Athlete,Yugoslavia,34
6,2,percent,Penn Jillette,17,164619,Kym Johnson,Magician,United States,53
6,2,percent,Adam Carolla,19,1028455,Julianne Hough,Radio Personality,United States,43
6,2,percent,Mario,26,903463,Karina Smirnoff,Singer/Rapper,United States,21
6,3,percent,Cristian de la Fuente,25,1039240,Cheryl Burke,Actor/Actress,Chile,34
6,3,percent,Steve Guttenberg,21,129354,Anna Trebunskaya,Actor/Actress,United States,49
6,3,percent,Priscilla Presley,26,1020319,Louis van Amstel,Actor/Actress,United States,62
6,3,percent,Marlee Matlin,21,1144086,Fabian Sanchez,Actor/Actress,United States,42
6,3,percent,Shannon Elizabeth,24,1062170,Derek Hough,Actor/Actress,United States,34
6,3,percent,Marissa Jaret Winokur,19,1226069,Tony Dovolani,Actor/Actress,United States,35
6,3,percent,Jason Taylor,23,1067588,Edyta Sliwinska,Athlete,United States,33
6,3,percent,Kristi Yamaguchi,27,1015468,Mark Ballas,Athlete,United States,36
6,3,percent,Adam Carolla,21,1148119,Julianne Hough,Radio Personality,United States,43
6,3,percent,Mario,21,1147582,Karina Smirnoff,Singer/Rapper,United States,21
6,4,percent,Cristian de la Fuente,26,1205496,Cheryl Burke,Actor/Actress,Chile,34
6,4,percent,Priscilla Presley,22,1285315,Louis van Amstel,Actor/Actress,United States,62
6,4,percent,Marlee Matlin,24,1240975,Fabian Sanchez,Actor/Actress,United States,42
6,4,percent,Shannon Elizabeth,28,1198658,Derek Hough,Actor/Actress,United States,34
6,4,percent,Marissa Jaret Winokur,24,1229401,Tony Dovolani,Actor/Actress,United States,35
6,4,percent,Jason Taylor,29,1197373,Edyta Sliwinska,Athlete,United States,33
6,4,percent,Kristi Yamaguchi,29,1186451,Mark Ballas,Athlete,United States,36
6,4,percent,Adam Carolla,19,217992,Julianne Hough,Radio Personality,United States,43
6,4,percent,Mario,24,1238335,Karina Smirnoff,Singer/Rapper,United States,21
6,5,percent,Cristian de la Fuente,23,1593020,Cheryl Burke,Actor/Actress,Chile,34
6,5,percent,Priscilla Presley,21,236053,Louis van Amstel,Actor/Actress,United States,62
6,5,percent,Marlee Matlin,22,1625792,Fabian Sanchez,Actor/Actress,United States,42
6,5,percent,Shannon Elizabeth,23,1567314,Derek Hough,Actor/Actress,United States,34
6,5,percent,Marissa Jaret Winokur,24,1551004,Tony Dovolani,Actor/Actress,United States,35
6,5,percent,Jason Taylor,27,1478114,Edyta Sliwinska,Athlete,United States,33
6,5,percent,Kristi Yamaguchi,29,1451803,Mark Ballas,Athlete,United States,36
6,5,percent,Mario,27,1496896,Karina Smirnoff,Singer/Rapper,United States,21
6,6,percent,Cristian de la Fuente,27,1742411,Cheryl Burke,Actor/Actress,Chile,34
6,6,percent,Marlee Matlin,21,324123,Fabian Sanchez,Actor/Actress,United States,42
6,6,percent,Shannon Elizabeth,24,1866209,Derek Hough,Actor/Actress,United States,34
6,6,percent,Marissa Jaret Winokur,26,1761199,Tony Dovolani,Actor/Actress,United States,35
6,6,percent,Jason Taylor,24,1839740,Edyta Sliwinska,Athlete,United States,33
6,6,percent,Kristi Yamaguchi,30,1717227,Mark Ballas,Athlete,United States,36
6,6,percent,Mario,28,1749087,Karina Smirnoff,Singer/Rapper,United States,21
6,7,percent,Cristian de la Fuente,23,2291423,Cheryl Burke,Actor/Actress,Chile,34
6,7,percent,Shannon Elizabeth,25.5,313591,Derek Hough,Actor/Actress,United States,34
6,7,percent,Marissa Jaret Winokur,26,2120950,Tony Dovolani,Actor/Actress,United States,35
