season,contestant,age,judge_share_mean,weeks
5,Helio Castroneves,32.0,0.16904060282997008,10
5,Jane Seymour,56.0,0.11697631847770029,7
5,Jennie Garth,35.0,0.1419550927241508,9
5,Josie Maran,29.0,0.0622568093385214,1
5,Marie Osmond,47.0,0.1517967048487998,10
5,Mark Cuban,49.0,0.08811381098677981,5
5,Mel B,32.0,0.17260581647909704,10
5,Sabrina Bryan,23.0,0.12186320977218612,6
5,Wayne Newton,65.0,0.07075632623496947,3
6,Adam Carolla,43.0,0.08349322289727773,3
6,Cristian de la Fuente,34.0,0.1661067612258078,9
6,Jason Taylor,33.0,0.17399345236981464,9
6,Kristi Yamaguchi,36.0,0.18465160482508644,9
6,Mario,21.0,0.1366857598492181,7
6,Marissa Jaret Winokur,35.0,0.14131497873796697,8
6,Marlee Matlin,42.0,0.10421374169163873,5
6,Monica Seles,34.0,0.0583657587548638,1
6,Penn Jillette,53.0,0.0661478599221789,1
6,Priscilla Presley,62.0,0.10016694622418557,4
6,Shannon Elizabeth,34.0,0.12313693869085453,6
6,Steve Guttenberg,49.0,0.07718103624820805,2
7,Brooke Burke,37.0,0.18462293910031674,9
7,Cloris Leachman,82.0,0.08823641171764902,5
7,Cody Linley,18.0,0.14297036830505455,8
7,Jeffrey Ross,43.0,0.0476190476190476,1
7,Kim Kardashian,27.0,0.07516788766788765,2
7,Lance Bass,29.0,0.17262158702229968,9
7,Maurice Greene,34.0,0.1271272614767771,7
7,Misty May-Treanor,31.0,0.0891779788838612,2
7,Rocco DiSpirito,41.0,0.07683752840953646,3
7,Susan Lucci,61.0,0.11774962379587846,6
7,Ted McGinley,50.0,0.0734126984126984,1
7,Toni Braxton,40.0,0.10363825238318135,4
7,Warren Sapp,35.0,0.16763073476205329,9
8,Belinda Carlisle,50.0,0.0679245283018867,1
8,Chuck Wicks,29.0,0.11456069720573592,7
8,David Alan Grier,52.0,0.08857753201089998,4
8,Denise Richards,38.0,0.07111870450155991,2
8,Gilles Marini,33.0,0.17498058330491656,10
8,Holly Madison,30.0,0.0669897882131644,3
8,Lawrence Taylor,50.0,0.09360442213382014,6
8,Lil' Kim,34.0,0.13602949156050387,8
8,Melissa Rycroft,26.0,0.168557158132927,10
8,Shawn Johnson,17.0,0.16925810591467205,10
8,Steve Wozniak,58.0,0.051035932998629296,3
8,Steve-O,34.0,0.06912091379089824,5
8,Ty Murray,39.0,0.1284555980899177,9
9,Aaron Carter,21.0,0.11179539919125137,8
9,Ashley Hamiliton,34.0,0.0467979676767199,1
9,Chuck Liddell,39.0,0.06373816568932583,4
9,Debi Mazar,45.0,0.06383581665381373,3
9,Donny Osmond,51.0,0.15000757980423834,10
9,Joanna Krupa,30.0,0.13269843738143736,9
9,Kathy Ireland,46.0,0.055242760683243,2
9,Kelly Osbourne,24.0,0.1400940819894791,10
9,Louie Vito,21.0,0.07633004465501095,6
9,Macy Gray,42.0,0.0467979676767199,1
9,Mark Dacascos,45.0,0.09379370752241219,7
9,Melissa Joan Hart,33.0,0.0834057039194666,6
9,Michael Irvin,43.0,0.07721422784684506,7
9,Mya,29.0,0.16069089450030982,10
9,Natalie Coughlin,27.0,0.08575772847524668,5
9,Tom DeLay,62.0,0.0562083520834023,3
10,Aiden Turner,32.0,0.09127819697110522,3
10,Buzz Aldrin,80.0,0.05929243170622475,2
10,Chad Ochocinco,32.0,0.13967201543448676,8
10,Erin Andrews,32.0,0.17340978713937524,9
10,Evan Lysacek,24.0,0.18133753038714392,9
10,Jake Pavelka,32.0,0.10986967334072606,5
10,Kate Gosselin,35.0,0.07875800384548937,4
10,Nicole Scherzinger,31.0,0.19235992686533807,9
10,Niecy Nash,40.0,0.12170031750290401,7
10,Pamela Anderson,42.0,0.12650792119276946,6
10,Shannen Doherty,38.0,0.0909090909090909,1
11,Audrina Patridge,25.0,0.1191456787648602,6
11,Brandy,31.0,0.15571542180078643,9
11,Bristol Palin,19.0,0.14632941020599977,10
11,David Hasselhoff,58.0,0.066079295154185,1
11,Florence Henderson,76.0,0.09378314418668458,5
11,Jennifer Grey,50.0,0.1771564593352613,10
11,Kurt Warner,39.0,0.12061418931402328,8
11,Kyle Massey,19.0,0.16271856307473426,10
11,Margaret Cho,41.0,0.07632507425199826,3
11,Michael Bolton,57.0,0.062391612015866946,2
11,Rick Fox,41.0,0.1216769343774055,7
11,The Situation,28.0,0.07905932175361105,4
12,Chelsea Kane,22.0,0.18202584094714097,9
12,Chris Jericho,40.0,0.11450112976375862,5
12,Hines Ward,35.0,0.17906788475089755,9
12,Kendra Wilkinson,25.0,0.11615215058768182,6
12,Kirstie Alley,60.0,0.16376840842159712,9
12,Mike Catherwood,32.0,0.0787037037037037,1
12,Petra Nemcova,31.0,0.10630207763310964,4
12,Ralph Macchio,49.0,0.1399615488628815,8
12,Romeo,21.0,0.13718818265568813,7
12,Sugar Ray Leonard,54.0,0.09136779840058427,3
12,Wendy Williams,46.0,0.07439858082381445,2
13,Carson Kressley,41.0,0.09057250516155443,5
13,Chaz Bono,42.0,0.09286033210906526,6
13,Chynna Phillips,43.0,0.10143400057910973,4
13,David Arquette,40.0,0.11527470911506832,7
13,Elisabetta Canalis,33.0,0.08164741377528875,2
13,Hope Solo,30.0,0.13604297250086403,9
13,J.R. Martinez,28.0,0.17228823305570423,10
13,Kristin Cavallari,24.0,0.09582604499720843,3
13,Metta World Peace (Ron),31.0,0.064516129032258,1
13,Nancy Grace,51.0,0.11733044931434669,8
13,Ricki Lake,42.0,0.17460649887765323,10
13,Rob Kardashian,24.0,0.16300497574853304,10
14,Donald Driver,37.0,0.16031113424313842,9
14,Gavin DeGraw,35.0,0.08682876878394667,4
14,Gladys Knight,67.0,0.08668419195267116,5
14,Jack Wagner,52.0,0.08189060010621345,2
14,Jaleel White,35.0,0.10916810052971022,6
14,Katherine Jenkins,31.0,0.16427682614517697,9
14,Maria Menounos,33.0,0.13896033381368908,8
14,Martina Navratilova,55.0,0.0631970260223048,1
14,Melissa Gilbert,47.0,0.10693463029337777,7
14,Roshon Fegan,20.0,0.11929560682156726,7
14,Sherri Sheperd,44.0,0.08711496660505064,3
14,William Levy,31.0,0.16214958467374926,9
15,Apolo Anton Ohno,24.0,0.12142117610419847,7
15,Bristol Palin,19.0,0.07905262310336747,4
15,Drew Lachey,29.0,0.0818701199116184,3
15,Emmitt Smith,37.0,0.11808324337816269,7
15,Gilles Marini,33.0,0.11039658691171177,6
15,Helio Castroneves,32.0,0.08427254579699706,3
15,Joey Fatone,30.0,0.0778313939775139,2
15,Kelly Monaco,29.0,0.14478479505730568,8
15,Kirstie Alley,60.0,0.09568172113776363,6
15,Melissa Rycroft,26.0,0.14926731835863544,8
15,Pamela Anderson,42.0,0.0614828209764918,1
15,Sabrina Bryan,23.0,0.10209342173113453,5
15,Shawn Johnson,17.0,0.14904138760907237,8
16,Alexandra Raisman,18.0,0.1539308673813237,9
16,Andy Dick,47.0,0.09081452497848831,6
16,D. L. Hughley,50.0,0.07838334866959937,4
16,Dorothy Hamill,56.0,0.0614754098360655,1
16,Ingo Rademacher,41.0,0.12094543598189922,8
16,Jacoby Jones,28.0,0.14647613850560853,9
16,Kellie Pickler,26.0,0.1553307163603449,9
16,Lisa Vanderpump,52.0,0.0811631629644549,3
16,Sean Lowe,29.0,0.10899232096541313,7
16,Victor Ortiz,26.0,0.09171588126658883,5
16,Wynonna Judd,48.0,0.06880019384197619,2
16,Zendaya,16.0,0.15647616976286252,9
17,Amber Riley,27.0,0.14991051337896075,9
17,Bill Engvall,56.0,0.12545963435048818,9
17,Bill Nye,57.0,0.0633274362376529,2
17,Brant Daugherty,28.0,0.1108571503117096,6
17,Christina Milian,31.0,0.10409012641869081,4
17,Corbin Bleu,24.0,0.15330224765481631,9
17,Elizabeth Berkley Lauren,39.0,0.1209241143195527,7
17,Jack Osbourne,27.0,0.1440450324621115,9
17,Keyshawn Johnson,41.0,0.0676691729323308,1
17,Leah Remini,43.0,0.12523013396141194,8
17,"Nicole ""Snooki"" Polizzi",25.0,0.10225655758907796,5
17,Valerie Harper,74.0,0.07004101218546487,3
18,Amy Purdy,34.0,0.15346803012822852,8
18,Billy Dee Williams,76.0,0.059363659116506,2
18,Candace Cameron Bure,37.0,0.14055224872834335,8
18,Charlie White,26.0,0.1377627276901992,7
18,Cody Simpson,17.0,0.0932411540622952,3
18,Danica McKellar,39.0,0.1248625631836993,6
18,Diana Nyad,64.0,0.0687022900763358,1
18,Drew Carey,55.0,0.09166248614257795,4
18,James Maslow,23.0,0.1475551458300321,8
18,Meryl Davis,27.0,0.1540252644884077,8
18,NeNe Leakes,46.0,0.10509510939333637,5
18,Sean Avery,33.0,0.0812007258165436,2
19,Alfonso Ribeiro,42.0,0.14720300499008143,10
19,Antonio Sabato Jr.,42.0,0.08921678287630695,6
19,Bethany Mota,18.0,0.14470333440926925,10
19,Betsey Johnson,72.0,0.0759723704157017,4
19,Janel Parrish,25.0,0.14563743580860056,10
19,Jonathan Bennett,33.0,0.08767693292112375,5
19,Lea Thompson,53.0,0.11619943506336096,8
19,Lolo Jones,32.0,0.0591397849462365,1
19,Michael Waltrip,51.0,0.08606578596322041,7
19,Randy Couture,51.0,0.07811193018883997,3
19,Sadie Robertson,17.0,0.14008114329713392,10
19,Tavis Smiley,50.0,0.07765252777282715,2
19,Tommy Chong,76.0,0.10725992867944853,9
20,Charlotte McKinney,21.0,0.07260774691329605,2
20,Chris Soules,33.0,0.10364018238012761,7
20,Michael Sam,25.0,0.0832255504176396,3
20,Nastia Liukin,25.0,0.1470615556011802,8
20,Noah Galloway,33.0,0.14912497419519222,9
20,Patti LaBelle,70.0,0.09176691561506065,5
20,Redfoo,39.0,0.0893371757925072,1
20,Riker Lynch,23.0,0.1670758833722466,9
20,Robert Herjavec,52.0,0.10710833494038782,7
20,Rumer Willis,26.0,0.1662914819474948,9
20,Suzanne Somers,68.0,0.08641440565165205,4
20,Willow Shields,14.0,0.11951922612643597,6
21,Alek Skarlatos,22.0,0.13168563217335164,7
21,Alexa PenaVega,27.0,0.11930621494959574,6
21,Andy Grammer,31.0,0.11139830950093388,5
21,Bindi Irwin,17.0,0.1496177951518863,7
21,Carlos PenaVega,26.0,0.14358132771912815,7
21,Chaka Khan,62.0,0.055452865064695,1
21,Gary Busey,71.0,0.064397380870328,2
21,Hayes Grier,15.0,0.10662983289062111,4
21,Kim Zolciak-Biermann,37.0,0.0683918669131238,1
21,Nick Carter,35.0,0.14798186238356628,7
21,Paula Deen,68.0,0.07378012321591047,3
21,Tamar Braxton,38.0,0.12470229649340216,6
21,Victor Espinoza,43.0,0.0683918669131238,1
22,Antonio Brown,27.0,0.12377907588866607,7
22,Doug Flutie,53.0,0.08422001782490002,4
22,Geraldo Rivera,72.0,0.0550847457627118,1
22,Ginger Zee,35.0,0.15287275780956053,8
22,Jodie Sweetin,34.0,0.11291246546275975,6
22,Kim Fields,46.0,0.10017423155380087,5
22,Marla Maples,52.0,0.08704255077313987,3
22,Mischa Barton,30.0,0.06975434456125296,2
22,Nyle DiMarco,26.0,0.1551654773655884,8
22,Paige VanZant,22.0,0.15946238002715873,8
22,Von Miller,27.0,0.09933392546783938,5
22,Wanya Morris,42.0,0.13227497296741095,7
23,Amber Rose,32.0,0.0822155491954813,4
23,Babyface,57.0,0.07703862229724297,3
23,Calvin Johnson Jr.,30.0,0.14189269569966234,9
23,Jake T. Austin,21.0,0.0681818181818181,1
23,James Hinchcliffe,29.0,0.1475744274787847,9
23,Jana Kramer,32.0,0.14039984608033138,9
23,Laurie Hernandez,16.0,0.1501591150114061,9
23,Marilu Henner,64.0,0.10628061493934086,7
23,Maureen McCormick,60.0,0.09467861278487258,5
23,Rick Perry,66.0,0.06663461538461535,2
23,Ryan Lochte,32.0,0.09614871921313377,6
23,Terra Jole,36.0,0.12391637158352878,8
23,Vanilla Ice,48.0,0.07758515749895052,3
24,Bonner Bolton,29.0,0.10917416819166,7
24,Charo,66.0,0.07620499419279905,2
24,Chris Kattan,46.0,0.0670731707317073,1
24,David Ross,40.0,0.14947101697771067,9
24,Erika Jayne,45.0,0.0912983084925641,4
24,Heather Morris,30.0,0.11059517125017597,5
24,Mr. T,64.0,0.0763844058247769,3
24,Nancy Kerrigan,47.0,0.11276726850345964,6
24,Nick Viall,36.0,0.10173268188036194,6
24,Normani,20.0,0.17222327535604037,9
24,Rashad Jennings,32.0,0.16761805840570376,9
24,Simone Biles,20.0,0.14727056211094774,8
25,Barbara Corcoran,68.0,0.0621572212065813,1
25,Debbie Gibson,47.0,0.0749542961608775,1
25,Derek Fisher,43.0,0.07717034208733306,2
25,Drew Scott,39.0,0.1322028306921382,8
25,Frankie Muniz,31.0,0.14189379334970229,8
25,Jordan Fisher,23.0,0.1531273008393793,8
25,Lindsey Stirling,31.0,0.14677739962039546,8
25,Nick Lachey,43.0,0.07997728881879965,4
25,Nikki Bella,33.0,0.0985164232604554,5
25,Sasha Pieterse,21.0,0.08759393967261235,3
25,Terrell Owens,43.0,0.10890868890489891,6
25,Vanessa Lachey,36.0,0.1019333160640005,5
25,Victoria Arlen,22.0,0.12544934258574883,7
26,Adam Rippon,28.0,0.1965243885133246,4
26,Arike Ogunbowale,21.0,0.11303960836671115,2
26,Chris Mazdzer,29.0,0.12658753008223708,3
26,Jamie Anderson,27.0,0.0904761904761904,1
26,Jennie Finch Daigle,37.0,0.11839925587987771,3
26,Johnny Damon,44.0,0.0857142857142857,1
26,Josh Norman,30.0,0.1863677109236749,4
26,Kareem Abdul-Jabbar,71.0,0.0956163773920783,2
26,Mirai Nagasu,25.0,0.13790611459478003,3
26,Tonya Harding,47.0,0.1815626132183154,4
27,Alexis Ren,21.0,0.13147066061726292,8
27,Bobby Bones,38.0,0.11412807230125026,8
27,Danelle Umstead,46.0,0.06949005110362069,2
27,DeMarcus Ware,36.0,0.10053616294659756,6
27,Evanna Lynch,27.0,0.13306578917570056,8
27,Joe Amabile,32.0,0.085377970787309,7
27,John Schneider,58.0,0.0875310091426888,6
27,Juan Pablo Di Pace,39.0,0.12037394212076782,7
27,Mary Lou Retton,50.0,0.09377848871148617,5
27,Milo Manheim,17.0,0.1367582602008029,8
27,Nancy McKeon,52.0,0.07781232743283173,3
27,Nikki Glaser,34.0,0.0686274509803921,1
27,Tinashe,25.0,0.09950358492601205,4
28,Ally Brooke,26.0,0.15829439499029807,8
28,Hannah Brown,24.0,0.15401903899439756,8
28,James Van Der Beek,42.0,0.13808836796937524,7
28,Karamo Brown,38.0,0.10424625563232813,4
28,Kate Flannery,55.0,0.11200729487569254,5
28,Kel Mitchell,41.0,0.15467245315397724,8
28,Lamar Odom,39.0,0.062858253181774,2
28,Lauren Alaina,24.0,0.14751294458429276,8
28,Mary Wilson,75.0,0.0684931506849315,1
28,Ray Lewis,44.0,0.0684931506849315,1
28,Sailor Brinkley-Cook,21.0,0.10351397048922704,3
28,Sean Spicer,48.0,0.09452075905362978,6
29,AJ McLean,42.0,0.09494867089503813,8
29,Anne Heche,51.0,0.06302743023756013,3
29,Carole Baskin,59.0,0.05065634247128905,2
29,Charles Oakley,56.0,0.0549450549450549,1
29,Chrishell Stause,39.0,0.08495596457653438,7
29,Jeannie Mai,41.0,0.08117574072738991,6
29,Jesse Metcalfe,41.0,0.07010099573426799,4
29,Johnny Weir,36.0,0.10804756455755958,9
29,Justina Machado,48.0,0.11938186533589819,10
29,Kaitlyn Bristowe,35.0,0.1239769471085231,10
29,Monica Aldama,48.0,0.0815048936215742,6
29,Nelly,45.0,0.11106675526283105,10
29,Nev Schulman,35.0,0.1256030806723401,10
29,Skai Jackson,18.0,0.10025910820210183,9
29,Veron Davis,36.0,0.07376890450798072,5
30,Amanda Kloots,39.0,0.12382316107233352,9
30,Brian Austin Green,48.0,0.06194958963536044,3
30,Christine Chiu,38.0,0.0664037304976902,2
30,Cody Rigsby,34.0,0.11187654694465486,9
30,Iman Shumpert,31.0,0.1139076197297325,9
30,Jimmie Allen,36.0,0.08971328023477579,7
30,JoJo Siwa,18.0,0.12699184660481388,9
30,Kenya Moore,50.0,0.07699388953794822,5
30,Martin Kove,75.0,0.0389610389610389,1
30,Matt James,29.0,0.0642007582811986,3
30,Melanie C,47.0,0.08109769135793952,4
30,Melora Hardin,54.0,0.10420222049350444,8
30,"Mike ""The Miz"" Mizanin",40.0,0.08227973741814498,6
30,Olivia Jade,21.0,0.0960472446945372,7
30,Suni Lee,18.0,0.10292597638081155,8
31,Charli D'Amelio,18.0,0.12420739928260305,10
31,Cheryl Ladd,71.0,0.055166015217289,3
31,Daniel Durant,32.0,0.09501389881218814,9
31,Gabby Windey,31.0,0.11940012270090446,10
31,Heidi D'Amelio,50.0,0.08792698545604376,8
31,Jason Lewis,51.0,0.0471204188481675,1
31,Jessie James Decker,34.0,0.07103044990659109,6
31,Jordin Sparks,32.0,0.08173973917388008,7
31,Joseph Baena,24.0,0.06735054721733494,5
31,Sam Champion,61.0,0.059618291567276195,4
31,Selma Blair,50.0,0.0755946918374007,5
31,Shangela,40.0,0.1139331555758516,10
31,Teresa Giudice,50.0,0.05409063183042745,2
31,Trevor Donovan,39.0,0.09262717813995111,9
31,Vinny Guadagnino,34.0,0.07215623178066663,8
31,Wayne Brady,50.0,0.11827978305830882,10
32,Adrian Peterson,38.0,0.07413968577861765,4
32,Alyson Hannigan,49.0,0.1062518616127206,10
32,Ariana Madix,38.0,0.127908525573277,10
32,Barry Williams,68.0,0.09220696125495063,8
32,Charity Lawson,27.0,0.1273728300160478,10
32,Harry Jowsey,26.0,0.08908138886719803,9
32,Jamie Lynn Spears,32.0,0.0660809778456837,2
32,Jason Mraz,46.0,0.1289480657194338,10
32,Lele Pons,27.0,0.09858340438805104,7
32,Matt Walsh,58.0,0.0519480519480519,1
32,Mauricio Umansky,53.0,0.07803563367653416,6
32,Mira Sorvino,55.0,0.08177706967954644,5
32,Tyson Beckford,52.0,0.06316593623095167,3
32,Xochitl Gomez,17.0,0.13184494403207778,10
33,Anna Delvey,33.0,0.065891472868217,1
33,Brooks Nader,27.0,0.09409162231515389,3
33,Chandler Kinney,24.0,0.1418637283484058,7
33,Danny Amendola,39.0,0.13030839535328204,7
33,Dwight Howard ,38.0,0.11416151633040016,6
33,Eric Roberts,68.0,0.06523328945443906,2
33,Ilona Maher,28.0,0.12598331643334834,7
33,Jenn Tran,26.0,0.11133885713056375,5
33,Joey Graziadei,29.0,0.13949428692984248,7
33,Phaedra Parks,51.0,0.0992752704764257,4
33,Reginald VelJohnson,74.0,0.062088635366388756,2
33,Stephen Nedoroscik,26.0,0.13160483495669678,7
33,Tori Spelling,51.0,0.0736434108527131,1
34,Alix Earle,24.0,0.12687508281672663,9
34,Andy Richter,59.0,0.08387308115844634,7
34,Baron Davis,46.0,0.0647482014388489,1
34,Corey Feldman,54.0,0.0539568345323741,1
34,Danielle Fishel,44.0,0.09479309661680878,6
34,Dylan Efron,33.0,0.1225416785665707,9
34,Elaine Hendrix,55.0,0.11956559606133796,9
34,Hilaria Baldwin,41.0,0.08462820555655383,3
34,Jen Affleck,26.0,0.08846717456677747,5
34,Jordan Chiles,24.0,0.12653980917267102,9
34,Lauren Jauregui,29.0,0.0727892394255801,2
34,Robert Irwin,22.0,0.12631473282647965,9
34,Scott Hoying,34.0,0.07934541870265625,4
34,Whitney Leavitt,32.0,0.12121400975742364,8
