season,week,method,constraint_type,eliminated,contestant,judge_total,fan_vote_mean,fan_vote_std,feasible_rate,num_valid,n_simulations,p_elim,rank_elim,p_elim_true,rank_true,status,estimated_votes_total
1,3,rank,elimination,Evander Holyfield,Rachel Hunter,26,0.209246941,0.169797225,0.62383,62383,100000,0.00182,5,0.512253333,1,ok,1046234
1,3,rank,elimination,Evander Holyfield,Joey McIntyre,22,0.218711733,0.168051311,0.62383,62383,100000,0.139526667,3,0.512253333,1,ok,1093558
1,4,rank,elimination,Rachel Hunter,John O'Hurley,21,0.270611256,0.161747222,0.20825,20825,100000,0.314895,2,0.108745,3,ok,1353056
1,4,rank,elimination,Rachel Hunter,Kelly Monaco,26,0.22880586,0.180231452,0.20825,20825,100000,0.010405,4,0.108745,3,ok,1144029
1,4,rank,elimination,Rachel Hunter,Rachel Hunter,25,0.078956306,0.062213037,0.20825,20825,100000,0.108745,3,0.108745,3,ok,394781
1,4,rank,elimination,Rachel Hunter,Joey McIntyre,20,0.421626577,0.165635156,0.20825,20825,100000,0.565955,1,0.108745,3,ok,2108132
1,5,rank,elimination,Joey McIntyre,John O'Hurley,27,0.344221015,0.252640623,0.8328,83280,100000,0.055933333,3,0.635093333,1,ok,2237436
1,5,rank,elimination,Joey McIntyre,Kelly Monaco,23.5,0.377659995,0.231501271,0.8328,83280,100000,0.308973333,2,0.635093333,1,ok,2454789
1,5,rank,elimination,Joey McIntyre,Joey McIntyre,22.5,0.27811899,0.210224158,0.8328,83280,100000,0.635093333,1,0.635093333,1,ok,1807773
1,6,rank,final_ranking,John O'Hurley,John O'Hurley,27,0.499995591,0.288313346,1,100000,100000,0.74806,1,0.74806,1,ok,4499960
1,6,rank,final_ranking,John O'Hurley,Kelly Monaco,27.5,0.500004409,0.288313346,1,100000,100000,0.25194,2,0.74806,1,ok,4500039
2,1,rank,elimination,Kenny Mayne,Tatum O'Neal,23,0.102510099,0.090741804,0.32752,32752,100000,1.30E-05,9,0.276313667,2,ok,615060
2,1,rank,elimination,Kenny Mayne,Tia Carrere,20,0.105190081,0.09196629,0.32752,32752,100000,0.046534667,5,0.276313667,2,ok,631140
2,1,rank,elimination,Kenny Mayne,George Hamilton,18,0.116456379,0.091056786,0.32752,32752,100000,0.180232,3,0.276313667,2,ok,698738
2,1,rank,elimination,Kenny Mayne,Lisa Rinna,19,0.109349106,0.091175113,0.32752,32752,100000,0.103278,4,0.276313667,2,ok,656094
2,1,rank,elimination,Kenny Mayne,Stacy Keibler,22,0.103466217,0.092445455,0.32752,32752,100000,0.003708667,7,0.276313667,2,ok,620797
2,1,rank,elimination,Kenny Mayne,Jerry Rice,21,0.103222373,0.091316922,0.32752,32752,100000,0.017197667,6,0.276313667,2,ok,619334
2,1,rank,elimination,Kenny Mayne,Giselle Fernandez,23,0.101747669,0.09056353,0.32752,32752,100000,3.03E-05,8,0.276313667,2,ok,610486
2,1,rank,elimination,Kenny Mayne,Master P,12,0.127859732,0.090472719,0.32752,32752,100000,0.372692,1,0.276313667,2,ok,767158
2,1,rank,elimination,Kenny Mayne,Drew Lachey,24,0.101995927,0.090737736,0.32752,32752,100000,0,10,0.276313667,2,ok,611975
2,1,rank,elimination,Kenny Mayne,Kenny Mayne,13,0.028202418,0.023536431,0.32752,32752,100000,0.276313667,2,0.276313667,2,ok,169214
2,2,rank,elimination,Tatum O'Neal,Tatum O'Neal,17,0.03449537,0.028499551,0.3559,35590,100000,0.295551,2,0.295551,2,ok,206972
2,2,rank,elimination,Tatum O'Neal,Tia Carrere,22,0.117279154,0.101673463,0.3559,35590,100000,0.043045667,4,0.295551,2,ok,703674
2,2,rank,elimination,Tatum O'Neal,George Hamilton,22,0.116028624,0.100359285,0.3559,35590,100000,0.042108667,5,0.295551,2,ok,696171
2,2,rank,elimination,Tatum O'Neal,Lisa Rinna,20,0.130244102,0.101171977,0.3559,35590,100000,0.195086667,3,0.295551,2,ok,781464
2,2,rank,elimination,Tatum O'Neal,Stacy Keibler,29,0.113880471,0.099618353,0.3559,35590,100000,0,9,0.295551,2,ok,683282
2,2,rank,elimination,Tatum O'Neal,Jerry Rice,23,0.115108757,0.10081609,0.3559,35590,100000,0.014444,6,0.295551,2,ok,690652
2,2,rank,elimination,Tatum O'Neal,Giselle Fernandez,24,0.1142444,0.101889239,0.3559,35590,100000,0.002535667,7,0.295551,2,ok,685466
2,2,rank,elimination,Tatum O'Neal,Master P,16,0.145658581,0.10018666,0.3559,35590,100000,0.407098667,1,0.295551,2,ok,873951
2,2,rank,elimination,Tatum O'Neal,Drew Lachey,27,0.11306054,0.100314472,0.3559,35590,100000,0.000129667,8,0.295551,2,ok,678363
2,3,rank,elimination,Giselle Fernandez,Tia Carrere,26,0.120714531,0.108783278,0.12631,12631,100000,0.009250333,6,0.093905667,3,ok,724287
2,3,rank,elimination,Giselle Fernandez,George Hamilton,22,0.13730669,0.106378733,0.12631,12631,100000,0.092848,4,0.093905667,3,ok,823840
2,3,rank,elimination,Giselle Fernandez,Lisa Rinna,25,0.122255198,0.10750855,0.12631,12631,100000,0.039085333,5,0.093905667,3,ok,733531
2,3,rank,elimination,Giselle Fernandez,Stacy Keibler,27,0.11822933,0.107316728,0.12631,12631,100000,6.67E-06,8,0.093905667,3,ok,709375
2,3,rank,elimination,Giselle Fernandez,Jerry Rice,19,0.164167972,0.106356832,0.12631,12631,100000,0.320080333,2,0.093905667,3,ok,985007
2,3,rank,elimination,Giselle Fernandez,Giselle Fernandez,22,0.025449718,0.022015111,0.12631,12631,100000,0.093905667,3,0.093905667,3,ok,152698
2,3,rank,elimination,Giselle Fernandez,Master P,14,0.192981337,0.106349466,0.12631,12631,100000,0.444807,1,0.093905667,3,ok,1157888
2,3,rank,elimination,Giselle Fernandez,Drew Lachey,27,0.118895223,0.108302122,0.12631,12631,100000,1.67E-05,7,0.093905667,3,ok,713371
2,4,rank,elimination,Master P,Tia Carrere,25,0.151592967,0.126746825,0.52156,52156,100000,0.076046333,4,0.443536333,1,ok,909557
2,4,rank,elimination,Master P,George Hamilton,21,0.17857713,0.127230039,0.52156,52156,100000,0.304466333,2,0.443536333,1,ok,1071462
2,4,rank,elimination,Master P,Lisa Rinna,26,0.148482533,0.127505362,0.52156,52156,100000,0.002406,5,0.443536333,1,ok,890895
2,4,rank,elimination,Master P,Stacy Keibler,26,0.14748596,0.126433741,0.52156,52156,100000,0.002235333,6,0.443536333,1,ok,884915
2,4,rank,elimination,Master P,Jerry Rice,24,0.161840883,0.126300314,0.52156,52156,100000,0.171263,3,0.443536333,1,ok,971045
2,4,rank,elimination,Master P,Master P,8,0.064032731,0.053014562,0.52156,52156,100000,0.443536333,1,0.443536333,1,ok,384196
2,4,rank,elimination,Master P,Drew Lachey,28,0.147987795,0.126532798,0.52156,52156,100000,4.67E-05,7,0.443536333,1,ok,887926
2,5,rank,elimination,Tia Carrere,Tia Carrere,22,0.082734065,0.067117705,0.56527,56527,100000,0.473252333,1,0.473252333,1,ok,661872
2,5,rank,elimination,Tia Carrere,George Hamilton,24,0.185309897,0.144841211,0.56527,56527,100000,0.155977333,3,0.473252333,1,ok,1482479
2,5,rank,elimination,Tia Carrere,Lisa Rinna,25,0.175460083,0.144821206,0.56527,56527,100000,0.054950667,4,0.473252333,1,ok,1403680
2,5,rank,elimination,Tia Carrere,Stacy Keibler,30,0.173042667,0.144558023,0.56527,56527,100000,0.000273333,6,0.473252333,1,ok,1384341
2,5,rank,elimination,Tia Carrere,Jerry Rice,23,0.209283623,0.144628642,0.56527,56527,100000,0.306437333,2,0.473252333,1,ok,1674268
2,5,rank,elimination,Tia Carrere,Drew Lachey,27,0.174169666,0.145650585,0.56527,56527,100000,0.009109,5,0.473252333,1,ok,1393357
2,6,rank,elimination,George Hamilton,George Hamilton,23,0.083581049,0.068347422,0.43399,43399,100000,0.38041,2,0.38041,2,ok,668648
2,6,rank,elimination,George Hamilton,Lisa Rinna,27,0.221655729,0.162331226,0.43399,43399,100000,0.227623333,3,0.38041,2,ok,1773245
2,6,rank,elimination,George Hamilton,Stacy Keibler,30,0.205454575,0.165951771,0.43399,43399,100000,0.005446667,5,0.38041,2,ok,1643636
2,6,rank,elimination,George Hamilton,Jerry Rice,23,0.283011077,0.159379664,0.43399,43399,100000,0.380653333,1,0.38041,2,ok,2264088
2,6,rank,elimination,George Hamilton,Drew Lachey,30,0.20629757,0.16537099,0.43399,43399,100000,0.005866667,4,0.38041,2,ok,1650380
2,7,rank,elimination,Lisa Rinna,Lisa Rinna,26.5,0.125368907,0.096918757,0.49918,49918,100000,0.358383333,2,0.358383333,2,ok,1002951
2,7,rank,elimination,Lisa Rinna,Stacy Keibler,27.5,0.249299564,0.193604279,0.49918,49918,100000,0.01422,3,0.358383333,2,ok,1994396
2,7,rank,elimination,Lisa Rinna,Jerry Rice,20.5,0.376612843,0.185315514,0.49918,49918,100000,0.613523333,1,0.358383333,2,ok,3012902
2,7,rank,elimination,Lisa Rinna,Drew Lachey,27.5,0.248718686,0.193228962,0.49918,49918,100000,0.013873333,4,0.358383333,2,ok,1989749
2,8,rank,final_ranking,Stacy Keibler,Stacy Keibler,28.6665,0.167386764,0.117658428,0.50002,50002,100000,0.306903333,2,0.306903333,2,ok,2008641
2,8,rank,final_ranking,Stacy Keibler,Jerry Rice,26.6666,0.500921133,0.20353007,0.50002,50002,100000,0.637723333,1,0.306903333,2,ok,6011053
2,8,rank,final_ranking,Stacy Keibler,Drew Lachey,28.9998,0.331692102,0.234690623,0.50002,50002,100000,0.055373333,3,0.306903333,2,ok,3980305
3,1,percent,elimination,Tucker Carlson,Harry Hamlin,17,0.099187403,0.085550428,0.32575,32575,100000,0.11534,4,0.32466,1,ok,595124
3,1,percent,elimination,Tucker Carlson,Vivica A. Fox,22,0.095382718,0.086435065,0.32575,32575,100000,0.0161,8,0.32466,1,ok,572296
3,1,percent,elimination,Tucker Carlson,Monique Coleman,19,0.097690429,0.08653053,0.32575,32575,100000,0.06134,6,0.32466,1,ok,586142
3,1,percent,elimination,Tucker Carlson,Joey Lawrence,21,0.096450163,0.086582082,0.32575,32575,100000,0.02684,7,0.32466,1,ok,578700
3,1,percent,elimination,Tucker Carlson,Mario Lopez,26,0.095384814,0.086792472,0.32575,32575,100000,0.0013,11,0.32466,1,ok,572308
3,1,percent,elimination,Tucker Carlson,Emmitt Smith,24,0.095927706,0.087254756,0.32575,32575,100000,0.00544,10,0.32466,1,ok,575566
3,1,percent,elimination,Tucker Carlson,Shanna Moakler,18,0.098536107,0.086810803,0.32575,32575,100000,0.0868,5,0.32466,1,ok,591216
3,1,percent,elimination,Tucker Carlson,Willa Ford,22,0.095659115,0.086304701,0.32575,32575,100000,0.0159,9,0.32466,1,ok,573954
3,1,percent,elimination,Tucker Carlson,Sara Evans,15,0.104773429,0.087173917,0.32575,32575,100000,0.19148,2,0.32466,1,ok,628640
3,1,percent,elimination,Tucker Carlson,Jerry Springer,16,0.100770851,0.08601467,0.32575,32575,100000,0.1548,3,0.32466,1,ok,604625
3,1,percent,elimination,Tucker Carlson,Tucker Carlson,12,0.020237265,0.014450901,0.32575,32575,100000,0.32466,1,0.32466,1,ok,121423
3,2,percent,elimination,Shanna Moakler,Harry Hamlin,21,0.116511147,0.089348215,0.10987,10987,100000,0.14584,3,0.1096,5,ok,699066
3,2,percent,elimination,Shanna Moakler,Vivica A. Fox,24,0.103394931,0.088985449,0.10987,10987,100000,0.05794,8,0.1096,5,ok,620369
3,2,percent,elimination,Shanna Moakler,Monique Coleman,26,0.099918209,0.087322402,0.10987,10987,100000,0.02698,9,0.1096,5,ok,599509
3,2,percent,elimination,Shanna Moakler,Joey Lawrence,29,0.099358866,0.089273116,0.10987,10987,100000,0.00652,10,0.1096,5,ok,596153
3,2,percent,elimination,Shanna Moakler,Mario Lopez,21,0.115662007,0.090171487,0.10987,10987,100000,0.14588,2,0.1096,5,ok,693972
3,2,percent,elimination,Shanna Moakler,Emmitt Smith,24,0.105130437,0.090019487,0.10987,10987,100000,0.05998,7,0.1096,5,ok,630782
3,2,percent,elimination,Shanna Moakler,Shanna Moakler,22,0.011747274,0.009836211,0.10987,10987,100000,0.1096,5,0.1096,5,ok,70483
3,2,percent,elimination,Shanna Moakler,Willa Ford,23,0.108403539,0.091070165,0.10987,10987,100000,0.07966,6,0.1096,5,ok,650421
3,2,percent,elimination,Shanna Moakler,Sara Evans,21,0.115792219,0.088946361,0.10987,10987,100000,0.1431,4,0.1096,5,ok,694753
3,2,percent,elimination,Shanna Moakler,Jerry Springer,19,0.124081372,0.089079022,0.10987,10987,100000,0.2245,1,0.1096,5,ok,744488
3,3,percent,elimination,Harry Hamlin,Harry Hamlin,22,0.014404063,0.011928092,0.12731,12731,100000,0.12456,6,0.12456,6,ok,86424
3,3,percent,elimination,Harry Hamlin,Vivica A. Fox,27,0.113768616,0.099921848,0.12731,12731,100000,0.02352,9,0.12456,6,ok,682611
3,3,percent,elimination,Harry Hamlin,Monique Coleman,27,0.111675439,0.097759273,0.12731,12731,100000,0.02404,8,0.12456,6,ok,670052
3,3,percent,elimination,Harry Hamlin,Joey Lawrence,22,0.126536463,0.09895353,0.12731,12731,100000,0.12824,3,0.12456,6,ok,759218
3,3,percent,elimination,Harry Hamlin,Mario Lopez,22,0.125198539,0.097947566,0.12731,12731,100000,0.12518,5,0.12456,6,ok,751191
3,3,percent,elimination,Harry Hamlin,Emmitt Smith,19,0.140434578,0.098163393,0.12731,12731,100000,0.23514,1,0.12456,6,ok,842607
3,3,percent,elimination,Harry Hamlin,Willa Ford,22,0.125223955,0.098513154,0.12731,12731,100000,0.12524,4,0.12456,6,ok,751343
3,3,percent,elimination,Harry Hamlin,Sara Evans,25,0.114217335,0.098119549,0.12731,12731,100000,0.05172,7,0.12456,6,ok,685304
3,3,percent,elimination,Harry Hamlin,Jerry Springer,21,0.128541011,0.097322404,0.12731,12731,100000,0.16236,2,0.12456,6,ok,771246
3,4,percent,elimination,Vivica A. Fox,Vivica A. Fox,24,0.01761854,0.014544364,0.13274,13274,100000,0.13178,5,0.13178,5,ok,105711
3,4,percent,elimination,Vivica A. Fox,Monique Coleman,24,0.141281119,0.107792079,0.13274,13274,100000,0.13568,3,0.13178,5,ok,847686
3,4,percent,elimination,Vivica A. Fox,Joey Lawrence,27,0.130621056,0.108010487,0.13274,13274,100000,0.06332,6,0.13178,5,ok,783726
3,4,percent,elimination,Vivica A. Fox,Mario Lopez,29,0.127677605,0.109052838,0.13274,13274,100000,0.03358,8,0.13178,5,ok,766065
3,4,percent,elimination,Vivica A. Fox,Emmitt Smith,24,0.141371637,0.106510096,0.13274,13274,100000,0.1327,4,0.13178,5,ok,848229
3,4,percent,elimination,Vivica A. Fox,Willa Ford,28,0.126609134,0.106531617,0.13274,13274,100000,0.04742,7,0.13178,5,ok,759654
3,4,percent,elimination,Vivica A. Fox,Sara Evans,20,0.162574929,0.107995541,0.13274,13274,100000,0.26212,1,0.13178,5,ok,975449
3,4,percent,elimination,Vivica A. Fox,Jerry Springer,22,0.152245981,0.108890306,0.13274,13274,100000,0.1934,2,0.13178,5,ok,913475
3,5,percent,elimination,Willa Ford,Monique Coleman,27,0.154759366,0.11586947,0.1093,10930,100000,0.10988,5,0.10524,7,ok,1238074
3,5,percent,elimination,Willa Ford,Joey Lawrence,25,0.165224005,0.114802211,0.1093,10930,100000,0.16694,3,0.10524,7,ok,1321792
3,5,percent,elimination,Willa Ford,Mario Lopez,27,0.156575143,0.116299169,0.1093,10930,100000,0.10928,6,0.10524,7,ok,1252601
3,5,percent,elimination,Willa Ford,Emmitt Smith,27,0.156745348,0.118025485,0.1093,10930,100000,0.10992,4,0.10524,7,ok,1253962
3,5,percent,elimination,Willa Ford,Willa Ford,27,0.019386433,0.016867737,0.1093,10930,100000,0.10524,7,0.10524,7,ok,155091
3,5,percent,elimination,Willa Ford,Sara Evans,24,0.173477658,0.116241045,0.1093,10930,100000,0.199,2,0.10524,7,ok,1387821
3,5,percent,elimination,Willa Ford,Jerry Springer,24,0.173832048,0.11794821,0.1093,10930,100000,0.19974,1,0.10524,7,ok,1390656
3,6,percent,elimination,Null,Monique Coleman,27,0.241683956,0.170338832,0.31107,31107,100000,0.19784,2,0.30848,1,ok,1933471
3,6,percent,elimination,Null,Joey Lawrence,28.5,0.236700934,0.171486587,0.31107,31107,100000,0.15856,5,0.30848,1,ok,1893607
3,6,percent,elimination,Null,Mario Lopez,28,0.236164112,0.170445251,0.31107,31107,100000,0.17224,3,0.30848,1,ok,1889312
3,6,percent,elimination,Null,Emmitt Smith,28.5,0.235343886,0.170096314,0.31107,31107,100000,0.16288,4,0.30848,1,ok,1882751
3,6,percent,elimination,Null,Jerry Springer,23,0.050107113,0.037581907,0.31107,31107,100000,0.30848,1,0.30848,1,ok,400856
3,7,percent,elimination,Jerry Springer,Monique Coleman,27,0.241683956,0.170338832,0.31107,31107,100000,0.19784,2,0.30848,1,ok,1933471
3,7,percent,elimination,Jerry Springer,Joey Lawrence,28.5,0.236700934,0.171486587,0.31107,31107,100000,0.15856,5,0.30848,1,ok,1893607
3,7,percent,elimination,Jerry Springer,Mario Lopez,28,0.236164112,0.170445251,0.31107,31107,100000,0.17224,3,0.30848,1,ok,1889312
3,7,percent,elimination,Jerry Springer,Emmitt Smith,28.5,0.235343886,0.170096314,0.31107,31107,100000,0.16288,4,0.30848,1,ok,1882751
3,7,percent,elimination,Jerry Springer,Jerry Springer,23,0.050107113,0.037581907,0.31107,31107,100000,0.30848,1,0.30848,1,ok,400856
3,8,percent,elimination,Monique Coleman,Monique Coleman,26.5,0.064687804,0.04979349,0.27123,27123,100000,0.26918,1,0.26918,1,ok,517502
3,8,percent,elimination,Monique Coleman,Joey Lawrence,27,0.314671688,0.187215575,0.27123,27123,100000,0.25984,2,0.26918,1,ok,2517373
3,8,percent,elimination,Monique Coleman,Mario Lopez,28.5,0.304440624,0.186958061,0.27123,27123,100000,0.21598,4,0.26918,1,ok,2435524
3,8,percent,elimination,Monique Coleman,Emmitt Smith,27,0.316199885,0.187121279,0.27123,27123,100000,0.255,3,0.26918,1,ok,2529599
3,9,percent,elimination,Joey Lawrence,Joey Lawrence,29.5,0.111438594,0.078863021,0.33404,33404,100000,0.33314,2,0.33314,2,ok,891508
3,9,percent,elimination,Joey Lawrence,Mario Lopez,29.5,0.444330011,0.207506742,0.33404,33404,100000,0.33134,3,0.33314,2,ok,3554640
3,9,percent,elimination,Joey Lawrence,Emmitt Smith,29.5,0.444231395,0.207485705,0.33404,33404,100000,0.33552,1,0.33314,2,ok,3553851
3,10,percent,final_ranking,Mario Lopez,Mario Lopez,29.6666,0.249839632,0.144619976,0.49915,49915,100000,0.49784,2,0.49784,2,ok,2998075
3,10,percent,final_ranking,Mario Lopez,Emmitt Smith,29.6666,0.750160368,0.144619976,0.49915,49915,100000,0.50216,1,0.49784,2,ok,9001924
4,1,percent,elimination,Null,John Ratzenberger,21,0.100064472,0.081177125,0.11327,11327,100000,0.11262,3,0.11112,5,ok,600386
4,1,percent,elimination,Null,Ian Ziering,22,0.097577886,0.081729641,0.11327,11327,100000,0.07878,7,0.11112,5,ok,585467
4,1,percent,elimination,Null,Clyde Drexler,18,0.113748818,0.081929279,0.11327,11327,100000,0.22918,1,0.11112,5,ok,682492
4,1,percent,elimination,Null,Laila Ali,27,0.090771254,0.081803411,0.11327,11327,100000,0.00814,11,0.11112,5,ok,544627
4,1,percent,elimination,Null,Apolo Anton Ohno,26,0.091724781,0.082237496,0.11327,11327,100000,0.0139,10,0.11112,5,ok,550348
4,1,percent,elimination,Null,Shandi Finnessey,20,0.104331543,0.082387674,0.11327,11327,100000,0.1506,2,0.11112,5,ok,625989
4,1,percent,elimination,Null,Paulina Porizkova,21,0.010095739,0.008437881,0.11327,11327,100000,0.11112,5,0.11112,5,ok,60574
4,1,percent,elimination,Null,Heather Mills,24,0.094645411,0.083297436,0.11327,11327,100000,0.03666,9,0.11112,5,ok,567872
4,1,percent,elimination,Null,Billy Ray Cyrus,21,0.102419425,0.083080957,0.11327,11327,100000,0.1105,6,0.11112,5,ok,614516
4,1,percent,elimination,Null,Joey Fatone,24,0.093879799,0.083733527,0.11327,11327,100000,0.03678,8,0.11112,5,ok,563278
4,1,percent,elimination,Null,Leeza Gibbons,21,0.100740873,0.082129721,0.11327,11327,100000,0.11172,4,0.11112,5,ok,604445
4,2,percent,elimination,Paulina Porizkova,John Ratzenberger,21,0.100064472,0.081177125,0.11327,11327,100000,0.11262,3,0.11112,5,ok,600386
4,2,percent,elimination,Paulina Porizkova,Ian Ziering,22,0.097577886,0.081729641,0.11327,11327,100000,0.07878,7,0.11112,5,ok,585467
4,2,percent,elimination,Paulina Porizkova,Clyde Drexler,18,0.113748818,0.081929279,0.11327,11327,100000,0.22918,1,0.11112,5,ok,682492
4,2,percent,elimination,Paulina Porizkova,Laila Ali,27,0.090771254,0.081803411,0.11327,11327,100000,0.00814,11,0.11112,5,ok,544627
4,2,percent,elimination,Paulina Porizkova,Apolo Anton Ohno,26,0.091724781,0.082237496,0.11327,11327,100000,0.0139,10,0.11112,5,ok,550348
4,2,percent,elimination,Paulina Porizkova,Shandi Finnessey,20,0.104331543,0.082387674,0.11327,11327,100000,0.1506,2,0.11112,5,ok,625989
4,2,percent,elimination,Paulina Porizkova,Paulina Porizkova,21,0.010095739,0.008437881,0.11327,11327,100000,0.11112,5,0.11112,5,ok,60574
4,2,percent,elimination,Paulina Porizkova,Heather Mills,24,0.094645411,0.083297436,0.11327,11327,100000,0.03666,9,0.11112,5,ok,567872
4,2,percent,elimination,Paulina Porizkova,Billy Ray Cyrus,21,0.102419425,0.083080957,0.11327,11327,100000,0.1105,6,0.11112,5,ok,614516
4,2,percent,elimination,Paulina Porizkova,Joey Fatone,24,0.093879799,0.083733527,0.11327,11327,100000,0.03678,8,0.11112,5,ok,563278
4,2,percent,elimination,Paulina Porizkova,Leeza Gibbons,21,0.100740873,0.082129721,0.11327,11327,100000,0.11172,4,0.11112,5,ok,604445
4,3,percent,elimination,Shandi Finnessey,John Ratzenberger,20,0.115111986,0.087910267,0.11256,11256,100000,0.14786,2,0.11122,5,ok,690671
4,3,percent,elimination,Shandi Finnessey,Ian Ziering,24,0.102593036,0.088690662,0.11256,11256,100000,0.03708,10,0.11122,5,ok,615558
4,3,percent,elimination,Shandi Finnessey,Clyde Drexler,16,0.134569071,0.090658834,0.11256,11256,100000,0.30508,1,0.11122,5,ok,807414
4,3,percent,elimination,Shandi Finnessey,Laila Ali,21,0.110905756,0.089890599,0.11256,11256,100000,0.11206,4,0.11122,5,ok,665434
4,3,percent,elimination,Shandi Finnessey,Apolo Anton Ohno,23,0.103852012,0.088270818,0.11256,11256,100000,0.05874,6,0.11122,5,ok,623112
4,3,percent,elimination,Shandi Finnessey,Shandi Finnessey,21,0.011821032,0.009765387,0.11256,11256,100000,0.11122,5,0.11122,5,ok,70926
4,3,percent,elimination,Shandi Finnessey,Heather Mills,24,0.102329911,0.089403027,0.11256,11256,100000,0.03886,7,0.11122,5,ok,613979
4,3,percent,elimination,Shandi Finnessey,Billy Ray Cyrus,21,0.112609515,0.090138396,0.11256,11256,100000,0.11288,3,0.11122,5,ok,675657
4,3,percent,elimination,Shandi Finnessey,Joey Fatone,24,0.102871327,0.090360587,0.11256,11256,100000,0.0388,8,0.11122,5,ok,617227
4,3,percent,elimination,Shandi Finnessey,Leeza Gibbons,24,0.103336355,0.089444473,0.11256,11256,100000,0.03742,9,0.11122,5,ok,620018
4,4,percent,elimination,Leeza Gibbons,John Ratzenberger,16,0.137236691,0.101349338,0.23396,23396,100000,0.235,2,0.23406,3,ok,823420
4,4,percent,elimination,Leeza Gibbons,Ian Ziering,24,0.114952813,0.100388469,0.23396,23396,100000,0.03044,7,0.23406,3,ok,689716
4,4,percent,elimination,Leeza Gibbons,Clyde Drexler,15,0.142481345,0.102063093,0.23396,23396,100000,0.27598,1,0.23406,3,ok,854888
4,4,percent,elimination,Leeza Gibbons,Laila Ali,21,0.119187172,0.10106661,0.23396,23396,100000,0.0803,5,0.23406,3,ok,715123
4,4,percent,elimination,Leeza Gibbons,Apolo Anton Ohno,26,0.114232794,0.10123886,0.23396,23396,100000,0.01316,8,0.23406,3,ok,685396
4,4,percent,elimination,Leeza Gibbons,Heather Mills,23,0.116512888,0.101857524,0.23396,23396,100000,0.04506,6,0.23406,3,ok,699077
4,4,percent,elimination,Leeza Gibbons,Billy Ray Cyrus,21,0.118841819,0.100778528,0.23396,23396,100000,0.08188,4,0.23406,3,ok,713050
4,4,percent,elimination,Leeza Gibbons,Joey Fatone,28,0.114713017,0.102607669,0.23396,23396,100000,0.00412,9,0.23406,3,ok,688278
4,4,percent,elimination,Leeza Gibbons,Leeza Gibbons,16,0.02184146,0.016650767,0.23396,23396,100000,0.23406,3,0.23406,3,ok,131048
4,5,percent,elimination,Clyde Drexler,John Ratzenberger,18,0.144917239,0.116057692,0.37173,37173,100000,0.18918,3,0.37162,1,ok,1159337
4,5,percent,elimination,Clyde Drexler,Ian Ziering,24,0.135216836,0.115233459,0.37173,37173,100000,0.05158,5,0.37162,1,ok,1081734
4,5,percent,elimination,Clyde Drexler,Clyde Drexler,13,0.033452306,0.024408126,0.37173,37173,100000,0.37162,1,0.37162,1,ok,267618
4,5,percent,elimination,Clyde Drexler,Laila Ali,28,0.13419342,0.11627667,0.37173,37173,100000,0.01278,7,0.37162,1,ok,1073547
