season,week,method,contestant,judge_total,estimated_votes_total,ballroom_partner,celebrity_industry,celebrity_homecountry/region,celebrity_age_during_season,vote_share,judge_share
2,1,rank,Kenny Mayne,13.0,169214,Andrea Hale,Sports Broadcaster,United States,46.0,0.028202352134901423,0.06666666666666667
2,2,rank,Tatum O'Neal,17.0,206972,Nick Kosovich,Actor/Actress,United States,42.0,0.0344953620794684,0.085
2,2,rank,Tia Carrere,22.0,703674,Maksim Chmerkoskiy,Actor/Actress,United States,39.0,0.11727909773258144,0.11
2,2,rank,George Hamilton,22.0,696171,Edyta Sliwinska,Actor/Actress,United States,66.0,0.11602859669049724,0.11
2,2,rank,Lisa Rinna,20.0,781464,Louis van Amstel,Actor/Actress,United States,42.0,0.1302441085367571,0.1
2,2,rank,Stacy Keibler,29.0,683282,Tony Dovolani,Athlete,United States,26.0,0.1138804282336902,0.145
2,2,rank,Jerry Rice,23.0,690652,Anna Trebunskaya,Athlete,United States,43.0,0.11510876259063549,0.115
2,2,rank,Giselle Fernandez,24.0,685466,Jonathan Roberts,News Anchor,Mexico,44.0,0.11424442853702378,0.12
2,2,rank,Master P,16.0,873951,Ashly DelGrosso,Singer/Rapper,United States,35.0,0.1456586213821845,0.08
2,2,rank,Drew Lachey,27.0,678363,Cheryl Burke,Singer/Rapper,United States,29.0,0.11306059421716184,0.135
2,3,rank,Tia Carrere,26.0,724287,Maksim Chmerkoskiy,Actor/Actress,United States,39.0,0.12071456035728018,0.14285714285714285
2,3,rank,George Hamilton,22.0,823840,Edyta Sliwinska,Actor/Actress,United States,66.0,0.13730673532003432,0.12087912087912088
2,3,rank,Lisa Rinna,25.0,733531,Louis van Amstel,Actor/Actress,United States,42.0,0.12225522779428057,0.13736263736263737
2,3,rank,Stacy Keibler,27.0,709375,Tony Dovolani,Athlete,United States,26.0,0.11822922578127956,0.14835164835164835
2,3,rank,Jerry Rice,19.0,985007,Anna Trebunskaya,Athlete,United States,43.0,0.16416791541729103,0.1043956043956044
2,3,rank,Giselle Fernandez,22.0,152698,Jonathan Roberts,News Anchor,Mexico,44.0,0.02544967939150636,0.12087912087912088
2,3,rank,Master P,14.0,1157888,Ashly DelGrosso,Singer/Rapper,United States,35.0,0.19298142982404826,0.07692307692307693
2,3,rank,Drew Lachey,27.0,713371,Cheryl Burke,Singer/Rapper,United States,29.0,0.11889522611427972,0.14835164835164835
2,4,rank,Tia Carrere,25.0,909557,Maksim Chmerkoskiy,Actor/Actress,United States,39.0,0.1515929343952896,0.15822784810126583
2,4,rank,George Hamilton,21.0,1071462,Edyta Sliwinska,Actor/Actress,United States,66.0,0.1785771190514127,0.13291139240506328
2,4,rank,Lisa Rinna,26.0,890895,Louis van Amstel,Actor/Actress,United States,42.0,0.14848259898839933,0.16455696202531644
2,4,rank,Stacy Keibler,26.0,884915,Tony Dovolani,Athlete,United States,26.0,0.14748593165728777,0.16455696202531644
2,4,rank,Jerry Rice,24.0,971045,Anna Trebunskaya,Athlete,United States,43.0,0.16184094122729414,0.1518987341772152
2,4,rank,Master P,8.0,384196,Ashly DelGrosso,Singer/Rapper,United States,35.0,0.06403270935513956,0.05063291139240506
2,4,rank,Drew Lachey,28.0,887926,Cheryl Burke,Singer/Rapper,United States,29.0,0.14798776532517688,0.17721518987341772
2,5,rank,Tia Carrere,22.0,661872,Maksim Chmerkoskiy,Actor/Actress,United States,39.0,0.08273403102526164,0.1456953642384106
2,5,rank,George Hamilton,24.0,1482479,Edyta Sliwinska,Actor/Actress,United States,66.0,0.18530994449122917,0.15894039735099338
2,5,rank,Lisa Rinna,25.0,1403680,Louis van Amstel,Actor/Actress,United States,42.0,0.17546006579752468,0.16556291390728478
2,5,rank,Stacy Keibler,30.0,1384341,Tony Dovolani,Athlete,United States,26.0,0.1730426898910087,0.1986754966887417
2,5,rank,Jerry Rice,23.0,1674268,Anna Trebunskaya,Athlete,United States,43.0,0.20928357848134194,0.152317880794702
2,5,rank,Drew Lachey,27.0,1393357,Cheryl Burke,Singer/Rapper,United States,29.0,0.17416969031363386,0.17880794701986755
2,6,rank,George Hamilton,23.0,668648,Edyta Sliwinska,Actor/Actress,United States,66.0,0.08358103134288675,0.17293233082706766
2,6,rank,Lisa Rinna,27.0,1773245,Louis van Amstel,Actor/Actress,United States,42.0,0.22165570812089055,0.20300751879699247
2,6,rank,Stacy Keibler,30.0,1643636,Tony Dovolani,Athlete,United States,26.0,0.20545457704546638,0.22556390977443608
2,6,rank,Jerry Rice,23.0,2264088,Anna Trebunskaya,Athlete,United States,43.0,0.2830111061291648,0.17293233082706766
2,6,rank,Drew Lachey,30.0,1650380,Cheryl Burke,Singer/Rapper,United States,29.0,0.20629757736159152,0.22556390977443608
2,7,rank,Lisa Rinna,26.5,1002951,Louis van Amstel,Actor/Actress,United States,42.0,0.12536890634222658,0.25980392156862747
2,7,rank,Stacy Keibler,27.5,1994396,Tony Dovolani,Athlete,United States,26.0,0.2492995623248906,0.2696078431372549
2,7,rank,Jerry Rice,20.5,3012902,Anna Trebunskaya,Athlete,United States,43.0,0.37661284415321106,0.20098039215686275
2,7,rank,Drew Lachey,27.5,1989749,Cheryl Burke,Singer/Rapper,United States,29.0,0.2487186871796718,0.2696078431372549
2,8,rank,Stacy Keibler,28.6665,2008641,Tony Dovolani,Athlete,United States,26.0,0.16738676394889698,0.33992071896021603
2,8,rank,Jerry Rice,26.6666,6011053,Anna Trebunskaya,Athlete,United States,43.0,0.5009211250767605,0.3162063678588072
2,8,rank,Drew Lachey,28.9998,3980305,Cheryl Burke,Singer/Rapper,United States,29.0,0.3316921109743426,0.34387291318097685
3,1,percent,Harry Hamlin,17.0,595124,Ashly DelGrosso,Actor/Actress,United States,54.0,0.09918743252076585,0.08018867924528301
3,1,percent,Vivica A. Fox,22.0,572296,Nick Kosovich,Actor/Actress,United States,42.0,0.09538276204942872,0.10377358490566038
3,1,percent,Monique Coleman,19.0,586142,Louis van Amstel,Actor/Actress,United States,25.0,0.09769043102376436,0.08962264150943396
3,1,percent,Joey Lawrence,21.0,578700,Edyta Sliwinska,Actor/Actress,United States,30.0,0.09645009645009645,0.09905660377358491
3,1,percent,Mario Lopez,26.0,572308,Karina Smirnoff,Actor/Actress,United States,32.0,0.09538476205142872,0.12264150943396226
3,1,percent,Emmitt Smith,24.0,575566,Cheryl Burke,Athlete,United States,37.0,0.09592776259442926,0.11320754716981132
3,1,percent,Shanna Moakler,18.0,591216,Jesse DeSoto,Model,United States,31.0,0.09853609853609853,0.08490566037735849
3,1,percent,Willa Ford,22.0,573954,Maksim Chmerkoskiy,Singer/Rapper,United States,25.0,0.09565909565909565,0.10377358490566038
3,1,percent,Sara Evans,15.0,628640,Tony Dovolani,Singer/Rapper,United States,35.0,0.10477343810677144,0.07075471698113207
3,1,percent,Jerry Springer,16.0,604625,Kym Johnson,TV Personality,England,62.0,0.10077093410426743,0.07547169811320754
3,1,percent,Tucker Carlson,12.0,121423,Elena Grinenko,TV Personality,United States,37.0,0.02023718690385357,0.05660377358490566
3,2,percent,Harry Hamlin,21.0,699066,Ashly DelGrosso,Actor/Actress,United States,54.0,0.11651107767405178,0.09130434782608696
3,2,percent,Vivica A. Fox,24.0,620369,Nick Kosovich,Actor/Actress,United States,42.0,0.10339490226326818,0.10434782608695652
3,2,percent,Monique Coleman,26.0,599509,Louis van Amstel,Actor/Actress,United States,25.0,0.09991823327882218,0.11304347826086956
3,2,percent,Joey Lawrence,29.0,596153,Edyta Sliwinska,Actor/Actress,United States,30.0,0.09935889957259972,0.12608695652173912
3,2,percent,Mario Lopez,21.0,693972,Karina Smirnoff,Actor/Actress,United States,32.0,0.1156620771080514,0.09130434782608696
3,2,percent,Emmitt Smith,24.0,630782,Cheryl Burke,Athlete,United States,37.0,0.10513040342026894,0.10434782608695652
3,2,percent,Shanna Moakler,22.0,70483,Jesse DeSoto,Model,United States,31.0,0.011747174498116332,0.09565217391304348
3,2,percent,Willa Ford,23.0,650421,Maksim Chmerkoskiy,Singer/Rapper,United States,25.0,0.10840357226904818,0.1
3,2,percent,Sara Evans,21.0,694753,Tony Dovolani,Singer/Rapper,United States,35.0,0.1157922438614959,0.09130434782608696
3,2,percent,Jerry Springer,19.0,744488,Kym Johnson,TV Personality,England,62.0,0.12408141605427737,0.08260869565217391
3,3,percent,Harry Hamlin,22.0,86424,Ashly DelGrosso,Actor/Actress,United States,54.0,0.014404009602673068,0.10628019323671498
3,3,percent,Vivica A. Fox,27.0,682611,Nick Kosovich,Actor/Actress,United States,42.0,0.11376857584571723,0.13043478260869565
3,3,percent,Monique Coleman,27.0,670052,Louis van Amstel,Actor/Actress,United States,25.0,0.11167540778360519,0.13043478260869565
3,3,percent,Joey Lawrence,22.0,759218,Edyta Sliwinska,Actor/Actress,United States,30.0,0.12653641769094512,0.10628019323671498
3,3,percent,Mario Lopez,22.0,751191,Karina Smirnoff,Actor/Actress,United States,32.0,0.12519858346572232,0.10628019323671498
3,3,percent,Emmitt Smith,19.0,842607,Cheryl Burke,Athlete,United States,37.0,0.1404345936230624,0.09178743961352658
3,3,percent,Willa Ford,22.0,751343,Maksim Chmerkoskiy,Singer/Rapper,United States,25.0,0.12522391681594455,0.10628019323671498
3,3,percent,Sara Evans,25.0,685304,Tony Dovolani,Singer/Rapper,United States,35.0,0.11421740947827298,0.12077294685990338
3,3,percent,Jerry Springer,21.0,771246,Kym Johnson,TV Personality,England,62.0,0.12854108569405712,0.10144927536231885
3,4,percent,Vivica A. Fox,24.0,105711,Nick Kosovich,Actor/Actress,United States,42.0,0.01761851468209557,0.12121212121212122
3,4,percent,Monique Coleman,24.0,847686,Louis van Amstel,Actor/Actress,United States,25.0,0.14128111773426477,0.12121212121212122
3,4,percent,Joey Lawrence,27.0,783726,Edyta Sliwinska,Actor/Actress,United States,30.0,0.13062110885092404,0.13636363636363635
3,4,percent,Mario Lopez,29.0,766065,Karina Smirnoff,Actor/Actress,United States,32.0,0.12767760639800532,0.14646464646464646
3,4,percent,Emmitt Smith,24.0,848229,Cheryl Burke,Athlete,United States,37.0,0.14137161780968152,0.12121212121212122
3,4,percent,Willa Ford,28.0,759654,Maksim Chmerkoskiy,Singer/Rapper,United States,25.0,0.12660910550758792,0.1414141414141414
3,4,percent,Sara Evans,20.0,975449,Tony Dovolani,Singer/Rapper,United States,35.0,0.16257496881247402,0.10101010101010101
3,4,percent,Jerry Springer,22.0,913475,Kym Johnson,TV Personality,England,62.0,0.15224596020496683,0.1111111111111111
3,5,percent,Monique Coleman,27.0,1238074,Louis van Amstel,Actor/Actress,United States,25.0,0.1547593080347405,0.14917127071823205
3,5,percent,Joey Lawrence,25.0,1321792,Edyta Sliwinska,Actor/Actress,United States,30.0,0.16522406195902323,0.13812154696132597
3,5,percent,Mario Lopez,27.0,1252601,Karina Smirnoff,Actor/Actress,United States,32.0,0.1565751837156939,0.14917127071823205
3,5,percent,Emmitt Smith,27.0,1253962,Cheryl Burke,Athlete,United States,37.0,0.1567453087794908,0.14917127071823205
3,5,percent,Willa Ford,27.0,155091,Maksim Chmerkoskiy,Singer/Rapper,United States,25.0,0.01938638226989335,0.14917127071823205
3,5,percent,Sara Evans,24.0,1387821,Tony Dovolani,Singer/Rapper,United States,35.0,0.17347769005413377,0.13259668508287292
3,5,percent,Jerry Springer,24.0,1390656,Kym Johnson,TV Personality,England,62.0,0.17383206518702443,0.13259668508287292
3,7,percent,Monique Coleman,27.0,1933471,Louis van Amstel,Actor/Actress,United States,25.0,0.2416839656314871,0.2
3,7,percent,Joey Lawrence,28.5,1893607,Edyta Sliwinska,Actor/Actress,United States,30.0,0.2367009637628614,0.2111111111111111
3,7,percent,Mario Lopez,28.0,1889312,Karina Smirnoff,Actor/Actress,United States,32.0,0.2361640885615332,0.2074074074074074
3,7,percent,Emmitt Smith,28.5,1882751,Cheryl Burke,Athlete,United States,37.0,0.2353439632539862,0.2111111111111111
3,7,percent,Jerry Springer,23.0,400856,Kym Johnson,TV Personality,England,62.0,0.050107018790132046,0.17037037037037037
3,8,percent,Monique Coleman,26.5,517502,Louis van Amstel,Actor/Actress,United States,25.0,0.06468776617194154,0.24311926605504589
3,8,percent,Joey Lawrence,27.0,2517373,Edyta Sliwinska,Actor/Actress,United States,30.0,0.3146717036679259,0.24770642201834864
3,8,percent,Mario Lopez,28.5,2435524,Karina Smirnoff,Actor/Actress,United States,32.0,0.304440576110144,0.26146788990825687
3,8,percent,Emmitt Smith,27.0,2529599,Cheryl Burke,Athlete,United States,37.0,0.3161999540499885,0.24770642201834864
3,9,percent,Joey Lawrence,29.5,891508,Edyta Sliwinska,Actor/Actress,United States,30.0,0.11143851392981424,0.3333333333333333
3,9,percent,Mario Lopez,29.5,3554640,Karina Smirnoff,Actor/Actress,United States,32.0,0.44433005554125693,0.3333333333333333
3,9,percent,Emmitt Smith,29.5,3553851,Cheryl Burke,Athlete,United States,37.0,0.44423143052892883,0.3333333333333333
3,10,percent,Mario Lopez,29.6666,2998075,Karina Smirnoff,Actor/Actress,United States,32.0,0.24983960415330034,0.5
3,10,percent,Emmitt Smith,29.6666,9001924,Cheryl Burke,Athlete,United States,37.0,0.7501603958466997,0.5
4,2,percent,John Ratzenberger,21.0,600386,Edyta Sliwinska,Actor/Actress,United States,59.0,0.10006443339776673,0.08571428571428572
4,2,percent,Ian Ziering,22.0,585467,Cheryl Burke,Actor/Actress,United States,42.0,0.09757793091126424,0.08979591836734693
4,2,percent,Clyde Drexler,18.0,682492,Elena Grinenko,Athlete,United States,44.0,0.11374878041544709,0.07346938775510205
4,2,percent,Laila Ali,27.0,544627,Maksim Chmerkoskiy,Athlete,United States,29.0,0.09077125743792411,0.11020408163265306
4,2,percent,Apolo Anton Ohno,26.0,550348,Julianne Hough,Athlete,United States,24.0,0.09172475839142506,0.10612244897959183
4,2,percent,Shandi Finnessey,20.0,625989,Brian Fortuna,Beauty Pagent,United States,28.0,0.10433160433160434,0.08163265306122448
4,2,percent,Paulina Porizkova,21.0,60574,Alec Mazo,Model,Czechoslovakia,41.0,0.01009567676234343,0.08571428571428572
4,2,percent,Heather Mills,24.0,567872,Jonathan Roberts,Model,England,39.0,0.09464542797876131,0.09795918367346938
4,2,percent,Billy Ray Cyrus,21.0,614516,Karina Smirnoff,Singer/Rapper,United States,45.0,0.10241943575276909,0.08571428571428572
4,2,percent,Joey Fatone,24.0,563278,Kym Johnson,Singer/Rapper,United States,30.0,0.09387976054642722,0.09795918367346938
4,2,percent,Leeza Gibbons,21.0,604445,Tony Dovolani,TV Personality,United States,50.0,0.1007409340742674,0.08571428571428572
4,3,percent,John Ratzenberger,20.0,690671,Edyta Sliwinska,Actor/Actress,United States,59.0,0.11511191007460672,0.09174311926605505
4,3,percent,Ian Ziering,24.0,615558,Cheryl Burke,Actor/Actress,United States,42.0,0.10259306839537893,0.11009174311926606
4,3,percent,Clyde Drexler,16.0,807414,Elena Grinenko,Athlete,United States,44.0,0.13456908971272646,0.07339449541284404
4,3,percent,Laila Ali,21.0,665434,Maksim Chmerkoskiy,Athlete,United States,29.0,0.11090574060382707,0.0963302752293578
4,3,percent,Apolo Anton Ohno,23.0,623112,Julianne Hough,Athlete,United States,24.0,0.10385206923471282,0.10550458715596331
4,3,percent,Shandi Finnessey,21.0,70926,Brian Fortuna,Beauty Pagent,United States,28.0,0.01182100788067192,0.0963302752293578
4,3,percent,Heather Mills,24.0,613979,Jonathan Roberts,Model,England,39.0,0.1023299015532677,0.11009174311926606
4,3,percent,Billy Ray Cyrus,21.0,675657,Karina Smirnoff,Singer/Rapper,United States,45.0,0.11260957507305006,0.0963302752293578
4,3,percent,Joey Fatone,24.0,617227,Kym Johnson,Singer/Rapper,United States,30.0,0.10287123524749016,0.11009174311926606
4,3,percent,Leeza Gibbons,24.0,620018,Tony Dovolani,TV Personality,United States,50.0,0.10333640222426815,0.11009174311926606
4,4,percent,John Ratzenberger,16.0,823420,Edyta Sliwinska,Actor/Actress,United States,59.0,0.13723675815783878,0.08421052631578947
4,4,percent,Ian Ziering,24.0,689716,Cheryl Burke,Actor/Actress,United States,42.0,0.11495274330182886,0.12631578947368421
4,4,percent,Clyde Drexler,15.0,854888,Elena Grinenko,Athlete,United States,44.0,0.1424814283209522,0.07894736842105263
4,4,percent,Laila Ali,21.0,715123,Maksim Chmerkoskiy,Athlete,United States,29.0,0.11918724612483075,0.11052631578947368
4,4,percent,Apolo Anton Ohno,26.0,685396,Julianne Hough,Athlete,United States,24.0,0.11423274282182855,0.1368421052631579
4,4,percent,Heather Mills,23.0,699077,Jonathan Roberts,Model,England,39.0,0.11651291100860733,0.12105263157894737
4,4,percent,Billy Ray Cyrus,21.0,713050,Karina Smirnoff,Singer/Rapper,United States,45.0,0.11884174589449727,0.11052631578947368
4,4,percent,Joey Fatone,28.0,688278,Kym Johnson,Singer/Rapper,United States,30.0,0.11471307647538431,0.14736842105263157
4,4,percent,Leeza Gibbons,16.0,131048,Tony Dovolani,TV Personality,United States,50.0,0.02184134789423193,0.08421052631578947
4,5,percent,John Ratzenberger,18.0,1159337,Edyta Sliwinska,Actor/Actress,United States,59.0,0.14491721557325973,0.10227272727272728
4,5,percent,Ian Ziering,24.0,1081734,Cheryl Burke,Actor/Actress,United States,42.0,0.13521683451052158,0.13636363636363635
4,5,percent,Clyde Drexler,13.0,267618,Elena Grinenko,Athlete,United States,44.0,0.033452270907669314,0.07386363636363637
4,5,percent,Laila Ali,28.0,1073547,Maksim Chmerkoskiy,Athlete,United States,29.0,0.1341934588709118,0.1590909090909091
4,5,percent,Apolo Anton Ohno,30.0,1050606,Julianne Hough,Athlete,United States,24.0,0.13132583207864504,0.17045454545454544
4,5,percent,Heather Mills,21.0,1111461,Jonathan Roberts,Model,England,39.0,0.1389327118329449,0.11931818181818182
4,5,percent,Billy Ray Cyrus,17.0,1181509,Karina Smirnoff,Singer/Rapper,United States,45.0,0.1476887173054483,0.09659090909090909
4,5,percent,Joey Fatone,25.0,1074183,Kym Johnson,Singer/Rapper,United States,30.0,0.13427295892059932,0.14204545454545456
4,6,percent,John Ratzenberger,19.0,1524945,Edyta Sliwinska,Actor/Actress,United States,59.0,0.19061822030911016,0.11176470588235295
4,6,percent,Ian Ziering,24.0,1280316,Cheryl Burke,Actor/Actress,United States,42.0,0.16003958001979002,0.1411764705882353
4,6,percent,Laila Ali,28.0,1195220,Maksim Chmerkoskiy,Athlete,United States,29.0,0.14940257470128734,0.16470588235294117
4,6,percent,Apolo Anton Ohno,28.0,1188708,Julianne Hough,Athlete,United States,24.0,0.14858857429428715,0.16470588235294117
4,6,percent,Heather Mills,23.0,191236,Jonathan Roberts,Model,England,39.0,0.023904511952255975,0.13529411764705881
4,6,percent,Billy Ray Cyrus,21.0,1423109,Karina Smirnoff,Singer/Rapper,United States,45.0,0.17788871394435699,0.12352941176470589
4,6,percent,Joey Fatone,27.0,1196462,Kym Johnson,Singer/Rapper,United States,30.0,0.14955782477891238,0.1588235294117647
4,7,percent,John Ratzenberger,22.5,285876,Edyta Sliwinska,Actor/Actress,United States,59.0,0.035734508933627236,0.14563106796116504
4,7,percent,Ian Ziering,27.0,1488679,Cheryl Burke,Actor/Actress,United States,42.0,0.18608492152123038,0.17475728155339806
4,7,percent,Laila Ali,29.5,1429196,Maksim Chmerkoskiy,Athlete,United States,29.0,0.17864954466238617,0.19093851132686085
4,7,percent,Apolo Anton Ohno,27.0,1491845,Julianne Hough,Athlete,United States,24.0,0.1864806716201679,0.17475728155339806
4,7,percent,Billy Ray Cyrus,19.0,1861491,Karina Smirnoff,Singer/Rapper,United States,45.0,0.23268643317160828,0.12297734627831715
4,7,percent,Joey Fatone,29.5,1442911,Kym Johnson,Singer/Rapper,United States,30.0,0.18036392009098,0.19093851132686085
4,8,percent,Ian Ziering,23.5,1972538,Cheryl Burke,Actor/Actress,United States,42.0,0.2465673116418279,0.18725099601593626
4,8,percent,Laila Ali,26.5,1875698,Maksim Chmerkoskiy,Athlete,United States,29.0,0.23446230861557715,0.21115537848605578
4,8,percent,Apolo Anton Ohno,29.0,1828832,Julianne Hough,Athlete,United States,24.0,0.22860405715101428,0.23107569721115537
4,8,percent,Billy Ray Cyrus,19.0,462853,Karina Smirnoff,Singer/Rapper,United States,45.0,0.057856639464159865,0.15139442231075698
4,8,percent,Joey Fatone,27.5,1860077,Kym Johnson,Singer/Rapper,United States,30.0,0.2325096831274208,0.21912350597609562
4,9,percent,Ian Ziering,29.0,513016,Cheryl Burke,Actor/Actress,United States,42.0,0.06412701603175401,0.24472573839662448
4,9,percent,Laila Ali,30.0,2485552,Maksim Chmerkoskiy,Athlete,United States,29.0,0.3106940776735194,0.25316455696202533
4,9,percent,Apolo Anton Ohno,29.5,2524263,Julianne Hough,Athlete,United States,24.0,0.3155329538832385,0.2489451476793249
4,9,percent,Joey Fatone,30.0,2477167,Kym Johnson,Singer/Rapper,United States,30.0,0.3096459524114881,0.25316455696202533
4,10,percent,Laila Ali,28.3332,1351580,Maksim Chmerkoskiy,Athlete,United States,29.0,0.11263168543861424,0.3281854310465651
4,10,percent,Apolo Anton Ohno,29.3332,7313546,Julianne Hough,Athlete,United States,24.0,0.6094622682437114,0.3397685007685367
4,10,percent,Joey Fatone,28.6665,3334872,Kym Johnson,Singer/Rapper,United States,30.0,0.2779060463176744,0.33204606818489824
5,1,percent,Cameron Mathison,21.0,898709,Edyta Sliwinska,Actor/Actress,Canada,38.0,0.08987096290967404,0.08171206225680934
5,1,percent,Jane Seymour,24.0,870990,Tony Dovolani,Actor/Actress,England,56.0,0.08709906096934268,0.0933852140077821
5,1,percent,Sabrina Bryan,26.0,873410,Mark Ballas,Actor/Actress,United States,23.0,0.08734106113874279,0.10116731517509728
5,1,percent,Jennie Garth,21.0,893705,Derek Hough,Actor/Actress,United States,35.0,0.0893705625593938,0.08171206225680934
5,1,percent,Floyd Mayweather Jr. ,18.0,960011,Karina Smirnoff,Athlete,United States,30.0,0.09600116720081704,0.07003891050583658
5,1,percent,Josie Maran,16.0,143913,Alec Mazo,Model,United States,29.0,0.014391310073917052,0.0622568093385214
5,1,percent,Albert Reed,21.0,892937,Anna Trebunskaya,Model,United States,22.0,0.08929376250563376,0.08171206225680934
5,1,percent,Helio Castroneves,25.0,876248,Julianne Hough,Racing Driver,Brazil,32.0,0.08762486133740294,0.09727626459143969
5,1,percent,Mel B,24.0,868477,Maksim Chmerkoskiy,Singer/Rapper,England,32.0,0.08684776079343255,0.0933852140077821
5,1,percent,Wayne Newton,19.0,937371,Cheryl Burke,Singer/Rapper,United States,65.0,0.09373716561601593,0.07392996108949416
5,1,percent,Marie Osmond,21.0,890171,Jonathan Roberts,Singer/Rapper,United States,47.0,0.08901716231201362,0.08171206225680934
5,1,percent,Mark Cuban,21.0,894051,Kym Johnson,TV Personality,United States,49.0,0.0894051625836138,0.08171206225680934
5,2,percent,Cameron Mathison,21.0,984876,Edyta Sliwinska,Actor/Actress,Canada,38.0,0.09848764924382462,0.08823529411764706
5,2,percent,Jane Seymour,21.0,991805,Tony Dovolani,Actor/Actress,England,56.0,0.0991805495902748,0.08823529411764706
5,2,percent,Sabrina Bryan,26.0,893026,Mark Ballas,Actor/Actress,United States,23.0,0.08930264465132233,0.1092436974789916
5,2,percent,Jennie Garth,21.0,977600,Derek Hough,Actor/Actress,United States,35.0,0.09776004888002444,0.08823529411764706
5,2,percent,Floyd Mayweather Jr. ,21.0,992417,Karina Smirnoff,Athlete,United States,30.0,0.09924174962087481,0.08823529411764706
5,2,percent,Albert Reed,21.0,99999,Anna Trebunskaya,Model,United States,22.0,0.0099999049999525,0.08823529411764706
5,2,percent,Helio Castroneves,27.0,899024,Julianne Hough,Racing Driver,Brazil,32.0,0.08990244495122247,0.1134453781512605
5,2,percent,Mel B,23.0,922057,Maksim Chmerkoskiy,Singer/Rapper,England,32.0,0.09220574610287305,0.09663865546218488
