season,contestant,age,vote_share_mean,weeks
21,Victor Espinoza,43.0,0.0114011428571428,1
22,Antonio Brown,27.0,0.12168238680176902,7
22,Doug Flutie,53.0,0.08468781778872123,4
22,Geraldo Rivera,72.0,0.017495736780233,1
22,Ginger Zee,35.0,0.14550010705224403,8
22,Jodie Sweetin,34.0,0.10313291531612474,6
22,Kim Fields,46.0,0.0893641057264715,5
22,Marla Maples,52.0,0.06699073735746516,3
22,Mischa Barton,30.0,0.05520071096956465,2
22,Nyle DiMarco,26.0,0.20755604021854268,8
22,Paige VanZant,22.0,0.1630776433383439,8
22,Von Miller,27.0,0.08986930628982022,5
22,Wanya Morris,42.0,0.11950968194138856,7
23,Amber Rose,32.0,0.07637670029825795,4
23,Babyface,57.0,0.06448462399554024,3
23,Calvin Johnson Jr.,30.0,0.1605314195139641,9
23,Jake T. Austin,21.0,0.0089171505004147,1
23,James Hinchcliffe,29.0,0.15731555569733374,9
23,Jana Kramer,32.0,0.13275325589116216,9
23,Laurie Hernandez,16.0,0.1559286658207525,9
23,Marilu Henner,64.0,0.11044199433518738,7
23,Maureen McCormick,60.0,0.08435720450150133,5
23,Rick Perry,66.0,0.0517052593959578,2
23,Ryan Lochte,32.0,0.09851062061813713,6
23,Terra Jole,36.0,0.11876101749621112,8
23,Vanilla Ice,48.0,0.0646399128955904,3
24,Bonner Bolton,29.0,0.12043128052734565,7
24,Charo,66.0,0.05274282902766865,2
24,Chris Kattan,46.0,0.0126112965239684,1
24,David Ross,40.0,0.18413812628410225,9
24,Erika Jayne,45.0,0.07974559634332262,4
24,Heather Morris,30.0,0.0847320507975957,5
24,Mr. T,64.0,0.0735133854782288,3
24,Nancy Kerrigan,47.0,0.09678760965466954,6
24,Nick Viall,36.0,0.10262101487885339,6
24,Normani,20.0,0.1498702228641516,9
24,Rashad Jennings,32.0,0.20677975422241524,9
24,Simone Biles,20.0,0.1265195760495196,8
25,Barbara Corcoran,68.0,0.0145434285714285,1
25,Debbie Gibson,47.0,0.0091338571428571,1
25,Derek Fisher,43.0,0.05252014718969755,2
25,Drew Scott,39.0,0.13954801986574955,8
25,Frankie Muniz,31.0,0.1649810338541139,8
25,Jordan Fisher,23.0,0.15845196839057957,8
25,Lindsey Stirling,31.0,0.16207173004525965,8
25,Nick Lachey,43.0,0.08675116719598013,4
25,Nikki Bella,33.0,0.09022737872680724,5
25,Sasha Pieterse,21.0,0.06575547633572283,3
25,Terrell Owens,43.0,0.10386155291449355,6
25,Vanessa Lachey,36.0,0.08827371853803508,5
25,Victoria Arlen,22.0,0.11584492872263333,7
26,Adam Rippon,28.0,0.2802460266556427,4
26,Arike Ogunbowale,21.0,0.07454563377481754,2
26,Chris Mazdzer,29.0,0.11607137847779037,3
26,Jamie Anderson,27.0,0.0180905688442044,1
26,Jennie Finch Daigle,37.0,0.1208437120174367,3
26,Johnny Damon,44.0,0.0205254256392249,1
26,Josh Norman,30.0,0.20468115816193694,4
26,Kareem Abdul-Jabbar,71.0,0.0850130614317055,2
26,Mirai Nagasu,25.0,0.10828161676885151,3
26,Tonya Harding,47.0,0.16674193851024233,4
27,Alexis Ren,21.0,0.11387657125723165,8
27,Bobby Bones,38.0,0.18612689434625054,8
27,Danelle Umstead,46.0,0.04832561887980175,2
27,DeMarcus Ware,36.0,0.0867445853169347,6
27,Evanna Lynch,27.0,0.122015085165051,8
27,Joe Amabile,32.0,0.11842891229386361,7
27,John Schneider,58.0,0.09527122303802378,6
27,Juan Pablo Di Pace,39.0,0.09563908383046023,7
27,Mary Lou Retton,50.0,0.075921734480648,5
27,Milo Manheim,17.0,0.137187267934836,8
27,Nancy McKeon,52.0,0.0616783906119378,3
27,Nikki Glaser,34.0,0.0088915803201517,1
27,Tinashe,25.0,0.06639899126355445,4
28,Ally Brooke,26.0,0.13365179597874008,8
28,Hannah Brown,24.0,0.1906332536716424,8
28,James Van Der Beek,42.0,0.11060837451427422,7
28,Karamo Brown,38.0,0.09327336662698753,4
28,Kate Flannery,55.0,0.07987586467748728,5
28,Kel Mitchell,41.0,0.13662550003105028,8
28,Lamar Odom,39.0,0.0729246149430379,2
28,Lauren Alaina,24.0,0.1504076445032105,8
28,Mary Wilson,75.0,0.0186076389557292,1
28,Ray Lewis,44.0,0.1017469513102134,1
28,Sailor Brinkley-Cook,21.0,0.0643763587420323,3
28,Sean Spicer,48.0,0.1838983564415717,6
29,AJ McLean,42.0,0.08608199454950702,8
29,Anne Heche,51.0,0.056368752014216934,3
29,Carole Baskin,59.0,0.04811659516553045,2
29,Charles Oakley,56.0,0.018736761710476,1
29,Chrishell Stause,39.0,0.07968932571070907,7
29,Jeannie Mai,41.0,0.08799530806660986,6
29,Jesse Metcalfe,41.0,0.06524175214262898,4
29,Johnny Weir,36.0,0.09277525957692936,9
29,Justina Machado,48.0,0.10424683275005682,10
29,Kaitlyn Bristowe,35.0,0.12285413675174602,10
29,Monica Aldama,48.0,0.07372711339312703,6
29,Nelly,45.0,0.17917313375243976,10
29,Nev Schulman,35.0,0.10786591950353075,10
29,Skai Jackson,18.0,0.10154588846627471,9
29,Veron Davis,36.0,0.06957009164985624,5
30,Amanda Kloots,39.0,0.1021225975096167,9
30,Brian Austin Green,48.0,0.06894983974971067,3
30,Christine Chiu,38.0,0.0386200958317241,2
30,Cody Rigsby,34.0,0.17442334312531688,9
30,Iman Shumpert,31.0,0.16036211135286246,9
30,Jimmie Allen,36.0,0.09204889862592844,7
30,JoJo Siwa,18.0,0.1027351483948684,9
30,Kenya Moore,50.0,0.06635435746158805,5
30,Martin Kove,75.0,0.0191600167650146,1
30,Matt James,29.0,0.061335710534348296,3
30,Melanie C,47.0,0.05485447908592552,4
30,Melora Hardin,54.0,0.09032107990956993,8
30,"Mike ""The Miz"" Mizanin",40.0,0.08831390909716802,6
30,Olivia Jade,21.0,0.07694592595458959,7
30,Suni Lee,18.0,0.08366859596256768,8
31,Charli D'Amelio,18.0,0.1353084009527618,10
31,Cheryl Ladd,71.0,0.05478655133789204,3
31,Daniel Durant,32.0,0.09310712683341543,9
31,Gabby Windey,31.0,0.10811762899940613,10
31,Heidi D'Amelio,50.0,0.08138144526573056,8
31,Jason Lewis,51.0,0.0152928902928902,1
31,Jessie James Decker,34.0,0.0701558230559238,6
31,Jordin Sparks,32.0,0.0737838354340863,7
31,Joseph Baena,24.0,0.06416962657913053,5
31,Sam Champion,61.0,0.06143705696780748,4
31,Selma Blair,50.0,0.07405176354443346,5
31,Shangela,40.0,0.10396995604557421,10
31,Teresa Giudice,50.0,0.0416323531515085,2
31,Trevor Donovan,39.0,0.09663836731715511,9
31,Vinny Guadagnino,34.0,0.09698179303181677,8
31,Wayne Brady,50.0,0.125423057081428,10
32,Adrian Peterson,38.0,0.06842883436892967,4
32,Alyson Hannigan,49.0,0.12651465347607616,10
32,Ariana Madix,38.0,0.11988767737724015,10
32,Barry Williams,68.0,0.10534923449764075,8
32,Charity Lawson,27.0,0.10176280302779997,10
32,Harry Jowsey,26.0,0.13343594727374675,9
32,Jamie Lynn Spears,32.0,0.04340365912054275,2
32,Jason Mraz,46.0,0.11299945741144676,10
32,Lele Pons,27.0,0.0784967199623535,7
32,Matt Walsh,58.0,0.0150453862840397,1
32,Mauricio Umansky,53.0,0.08771761440148475,6
32,Mira Sorvino,55.0,0.07107786901058452,5
32,Tyson Beckford,52.0,0.06348163632434757,3
32,Xochitl Gomez,17.0,0.1347451663457327,10
33,Anna Delvey,33.0,0.0259755018553929,1
33,Brooks Nader,27.0,0.06861009624592566,3
33,Chandler Kinney,24.0,0.11029354382564718,7
33,Danny Amendola,39.0,0.14446874420028935,7
33,Dwight Howard ,38.0,0.1304784891948463,6
33,Eric Roberts,68.0,0.0728169317489799,2
33,Ilona Maher,28.0,0.18254718770514364,7
33,Jenn Tran,26.0,0.09337211340159254,5
33,Joey Graziadei,29.0,0.13346142719185647,7
33,Phaedra Parks,51.0,0.08551344569168852,4
33,Reginald VelJohnson,74.0,0.07746603868806415,2
33,Stephen Nedoroscik,26.0,0.12372064560607443,7
33,Tori Spelling,51.0,0.0144021438858674,1
34,Alix Earle,24.0,0.11213030209573802,9
34,Andy Richter,59.0,0.12805343933633498,7
34,Baron Davis,46.0,0.0163645722078367,1
34,Corey Feldman,54.0,0.0263911917329138,1
34,Danielle Fishel,44.0,0.09497434341184458,6
34,Dylan Efron,33.0,0.13977001680182768,9
34,Elaine Hendrix,55.0,0.12525791957721305,9
34,Hilaria Baldwin,41.0,0.05647273902384914,3
34,Jen Affleck,26.0,0.07753377287021976,5
34,Jordan Chiles,24.0,0.11746471077328217,9
34,Lauren Jauregui,29.0,0.04774200445785555,2
34,Robert Irwin,22.0,0.14395545077175356,9
34,Scott Hoying,34.0,0.08448349352959877,4
34,Whitney Leavitt,32.0,0.09416417944984384,8
