season,week,eliminated_celebrity
14,4,Sherri Sheperd
14,5,Gavin DeGraw
14,6,Gladys Knight
14,7,Jaleel White
14,8,Roshon Fegan
14,8,Melissa Gilbert
14,9,Maria Menounos
15,1,Pamela Anderson
15,2,Joey Fatone
15,3,Helio Castroneves
15,3,Drew Lachey
15,4,Bristol Palin
15,6,Sabrina Bryan
15,8,Gilles Marini
15,8,Kirstie Alley
15,9,Apolo Anton Ohno
15,9,Emmitt Smith
16,3,Wynonna Judd
16,4,Lisa Vanderpump
16,5,D. L. Hughley
16,6,Victor Ortiz
16,7,Andy Dick
16,8,Sean Lowe
16,9,Ingo Rademacher
16,10,Alexandra Raisman
17,2,Keyshawn Johnson
17,3,Bill Nye
17,4,Valerie Harper
17,5,Christina Milian
17,7,"Nicole ""Snooki"" Polizzi"
17,8,Brant Daugherty
17,9,Elizabeth Berkley Lauren
17,10,Leah Remini
17,11,Bill Engvall
18,2,Sean Avery
18,2,Diana Nyad
18,5,Cody Simpson
18,6,Drew Carey
18,7,NeNe Leakes
18,8,Danica McKellar
18,9,Charlie White
18,10,James Maslow
19,1,Lolo Jones
19,2,Tavis Smiley
19,3,Randy Couture
19,4,Betsey Johnson
19,6,Jonathan Bennett
19,7,Antonio Sabato Jr.
19,8,Michael Waltrip
19,9,Lea Thompson
19,10,Tommy Chong
19,11,Bethany Mota
20,2,Redfoo
20,3,Charlotte McKinney
20,4,Michael Sam
20,5,Suzanne Somers
20,6,Patti LaBelle
20,7,Willow Shields
20,8,Robert Herjavec
20,8,Chris Soules
20,9,Nastia Liukin
21,2,Victor Espinoza
21,2,Chaka Khan
21,4,Gary Busey
21,6,Paula Deen
21,7,Hayes Grier
21,8,Andy Grammer
21,9,Alexa PenaVega
21,11,Carlos PenaVega
22,2,Geraldo Rivera
22,3,Mischa Barton
22,4,Marla Maples
22,6,Doug Flutie
22,7,Kim Fields
22,7,Von Miller
22,8,Jodie Sweetin
22,9,Antonio Brown
22,9,Wanya Morris
23,2,Jake T. Austin
23,3,Rick Perry
23,4,Babyface
23,4,Vanilla Ice
23,6,Amber Rose
23,7,Maureen McCormick
23,8,Ryan Lochte
23,9,Marilu Henner
23,10,Terra Jole
23,11,Jana Kramer
24,2,Chris Kattan
24,3,Charo
24,4,Mr. T
24,5,Erika Jayne
24,6,Heather Morris
24,7,Nancy Kerrigan
24,7,Nick Viall
24,8,Bonner Bolton
24,9,Simone Biles
25,2,Barbara Corcoran
25,2,Debbie Gibson
25,4,Derek Fisher
25,5,Sasha Pieterse
25,6,Nick Lachey
25,7,Nikki Bella
25,7,Vanessa Lachey
25,8,Terrell Owens
25,9,Victoria Arlen
25,10,Drew Scott
26,1,Jamie Anderson
26,1,Johnny Damon
26,2,Kareem Abdul-Jabbar
26,2,Arike Ogunbowale
26,3,Jennie Finch Daigle
26,3,Chris Mazdzer
26,3,Mirai Nagasu
27,1,Nikki Glaser
27,2,Danelle Umstead
27,3,Nancy McKeon
27,4,Tinashe
27,6,Mary Lou Retton
27,7,John Schneider
27,7,DeMarcus Ware
27,8,Juan Pablo Di Pace
27,8,Joe Amabile
28,2,Mary Wilson
28,4,Lamar Odom
28,6,Sailor Brinkley-Cook
28,7,Karamo Brown
28,8,Kate Flannery
28,9,Sean Spicer
28,10,James Van Der Beek
29,2,Charles Oakley
29,3,Carole Baskin
29,4,Anne Heche
29,5,Jesse Metcalfe
29,6,Veron Davis
29,7,Monica Aldama
29,8,Chrishell Stause
29,9,AJ McLean
29,10,Skai Jackson
29,10,Johnny Weir
30,2,Martin Kove
30,3,Christine Chiu
30,4,Brian Austin Green
30,4,Matt James
30,5,Melanie C
30,6,Kenya Moore
30,7,"Mike ""The Miz"" Mizanin"
30,8,Jimmie Allen
30,8,Olivia Jade
30,9,Melora Hardin
30,9,Suni Lee
31,1,Jason Lewis
31,2,Teresa Giudice
31,3,Cheryl Ladd
31,4,Sam Champion
31,5,Joseph Baena
31,6,Jessie James Decker
31,7,Jordin Sparks
31,8,Heidi D'Amelio
31,8,Vinny Guadagnino
31,9,Trevor Donovan
31,9,Daniel Durant
32,1,Matt Walsh
32,2,Jamie Lynn Spears
32,3,Tyson Beckford
32,4,Adrian Peterson
32,5,Mira Sorvino
32,6,Mauricio Umansky
32,7,Lele Pons
32,8,Barry Williams
32,9,Harry Jowsey
33,2,Tori Spelling
33,2,Anna Delvey
33,3,Eric Roberts
33,3,Reginald VelJohnson
33,4,Brooks Nader
33,5,Phaedra Parks
33,6,Jenn Tran
33,7,Dwight Howard 
34,2,Corey Feldman
34,2,Baron Davis
34,3,Lauren Jauregui
34,4,Hilaria Baldwin
34,6,Scott Hoying
34,7,Jen Affleck
34,8,Danielle Fishel
34,9,Andy Richter
34,10,Whitney Leavitt
